School,State,School_Type,SubsidizedDL,UNSubsidizedDL
FREDERICK SCHOOL OF COSMETOLOGY,MD,Proprietary,23861,24999
OMEGA STUDIOS SCHOOL OF APPLIED RECORDING ARTS AND SCIENCES,MD,Proprietary,21875,33375
TEMPLE THE: A PAUL MITCHELL PARTNER SCHOOL,MD,Proprietary,153776,234372
HOLISTIC MASSAGE TRAINING INSTITUTE,MD,Proprietary,8165,15832
ASPEN BEAUTY ACADEMY  LAUREL,MD,Proprietary,48698,52385
INSTITUTE OF HEALTH SCIENCES,MD,Proprietary,63574,97427
HARMONS BEAUTY SCHOOL,MD,Proprietary,9750,11000
AVERETT UNIVERSITY,VA,PrivateNonprofit,1794119,2188292
BLUEFIELD COLLEGE,VA,PrivateNonprofit,1092293,1275166
BRIDGEWATER COLLEGE,VA,PrivateNonprofit,2122312,2245622
COLLEGE OF WILLIAM AND MARY,VA,Public,2933520,2918768
CHRISTOPHER NEWPORT UNIVERSITY,VA,Public,3951490,4478591
RICHARD BLAND COLLEGE OF THE COLLEGE OF WILLIAM AND MARY,VA,Public,487220,513443
EASTERN MENNONITE UNIVERSITY,VA,PrivateNonprofit,1226696,1033267
EMORY AND HENRY COLLEGE,VA,PrivateNonprofit,1140253,1126487
FERRUM COLLEGE,VA,PrivateNonprofit,2181804,2430597
TIDEWATER COMMUNITY COLLEGE,VA,Public,10448009,11067030
HAMPDEN SYDNEY COLLEGE,VA,PrivateNonprofit,1047900,1022398
HAMPTON UNIVERSITY,VA,PrivateNonprofit,4499732,4862738
HOLLINS UNIVERSITY,VA,PrivateNonprofit,794850,740752
LONGWOOD UNIVERSITY,VA,Public,3959652,4187127
LYNCHBURG COLLEGE,VA,PrivateNonprofit,2715188,2831224
JAMES MADISON UNIVERSITY,VA,Public,10756253,11941932
MARY BALDWIN COLLEGE,VA,PrivateNonprofit,2119592,2369374
MARYMOUNT UNIVERSITY,VA,PrivateNonprofit,2527085,2903345
AMERICANNATIONAL UNIVERSITY,VA,Proprietary,2293904,3444632
NORTHERN VIRGINIA COMMUNITY COLLEGE,VA,Public,13782616,15202571
OLD DOMINION UNIVERSITY,VA,Public,20240533,21935690
RADFORD UNIVERSITY,VA,Public,8414375,9320944
RANDOLPHMACON COLLEGE,VA,PrivateNonprofit,1543289,1605771
RANDOLPH COLLEGE,VA,PrivateNonprofit,844514,631027
VIRGINIA COMMONWEALTH UNIVERSITY,VA,Public,21959084,20934687
ROANOKE COLLEGE,VA,PrivateNonprofit,2479693,2445616
SHENANDOAH UNIVERSITY,VA,PrivateNonprofit,2200957,2368719
SOUTHERN VIRGINIA UNIVERSITY,VA,PrivateNonprofit,832550,745373
SWEET BRIAR COLLEGE,VA,PrivateNonprofit,664838,661229
UNION PRESBYTERIAN SEMINARY,VA,PrivateNonprofit,NA,NA
UNIVERSITY OF RICHMOND,VA,PrivateNonprofit,1974696,1505859
UNIVERSITY OF VIRGINIA,VA,Public,5873500,6377457
UNIVERSITY OF MARY WASHINGTON,VA,Public,2719426,3737298
UNIVERSITY OF VIRGINIAS COLLEGE AT WISE THE,VA,Public,1280922,1136560
GEORGE MASON UNIVERSITY,VA,Public,18050265,16648719
VIRGINIA INTERMONT COLLEGE,VA,PrivateNonprofit,12750,6500
VIRGINIA MILITARY INSTITUTE,VA,Public,1170083,1129315
VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,VA,Public,16751772,16470730
DANVILLE COMMUNITY COLLEGE,VA,Public,443175,88910
J SARGEANT REYNOLDS COMMUNITY COLLEGE,VA,Public,5030445,5115887
VIRGINIA WESTERN COMMUNITY COLLEGE,VA,Public,2140538,2200558
WYTHEVILLE COMMUNITY COLLEGE,VA,Public,253477,190780
VIRGINIA UNIVERSITY OF LYNCHBURG,VA,PrivateNonprofit,672743,846236
VIRGINIA STATE UNIVERSITY,VA,Public,7802174,9099782
NORFOLK STATE UNIVERSITY,VA,Public,8349935,10312789
VIRGINIA UNION UNIVERSITY,VA,PrivateNonprofit,2284041,2478730
VIRGINIA WESLEYAN COLLEGE,VA,PrivateNonprofit,1811545,1881968
WASHINGTON AND LEE UNIVERSITY,VA,PrivateNonprofit,398089,843015
