Species	Infraorder	Family	Distribution	Body mass male (Kg)	Geographic range size (log km2)	Diet	Interaction	Fleshy fruits	Dry Fruits	Seeds	Flowers	Leaves	Gum	Bark	Nectar	Fungi	Vertebrates	Insects	Main References
Lepilemur_septentrionalis	Lemuriformes	Lepilemuridae	Madagascar	0.75	3.383154	Folivore	Antagonism	1	0	0	1	0	1	0	1	0	0	0	"13, 32, 428"
Microcebus_berthae	Lemuriformes	Cheirogaleidae	Madagascar	0.033	2.954242509	Frugivore	Mutualism	1	0	0	1	0	1	0	1	0	0	1	"13, 32, 111, 112, 172"
Microcebus_griseorufus	Lemuriformes	Cheirogaleidae	Madagascar	0.055	4.422648185	Frugivore	Antagonism	0	0	0	0	0	1	0	1	0	0	0	"13, 32, 181"
Microcebus_murinus	Lemuriformes	Cheirogaleidae	Madagascar	0.06	5.224563	Gumnivore	Mutualism	1	0	0	1	0	1	0	1	0	0	1	"13, 32, 111, 112, 252, 365, 431"
Microcebus_myoxinus	Lemuriformes	Cheirogaleidae	Madagascar	0.031	3.731015344	Frugivore	Antagonism	1	0	0	0	0	1	0	1	0	1	1	"13, 32"
Microcebus_ravelobensis	Lemuriformes	Cheirogaleidae	Madagascar	0.056	3.406705351	Frugivore	Antagonism	1	0	0	0	0	1	0	1	0	1	1	"13, 32, 431"
Microcebus_rufus	Lemuriformes	Cheirogaleidae	Madagascar	0.042	5.076902	Frugivore	Mutualism	1	0	0	1	1	1	0	1	0	0	1	"13, 32, 51, 317, 365, 481"
Microcebus_sambiranensis	Lemuriformes	Cheirogaleidae	Madagascar	0.0441	3.470600986	Frugivore	Antagonism	1	0	0	0	0	1	0	1	0	1	1	"13, 32"
Microcebus_tavaratra	Lemuriformes	Cheirogaleidae	Madagascar	0.0611	3.143564663	Frugivore	Antagonism	1	0	0	0	0	1	0	1	0	1	1	"13, 32"
Mirza_coquereli	Lemuriformes	Cheirogaleidae	Madagascar	0.304	4.58615	Faunivore	Antagonism	1	0	0	1	1	1	0	1	0	0	1	"13, 32, 335"
Phaner_electromontis	Lemuriformes	Cheirogaleidae	Madagascar	0.46	3.360349883	Gumnivore	Antagonism	1	0	0	0	1	1	0	0	0	0	0	"3, 13, 32"
Phaner_furcifer	Lemuriformes	Cheirogaleidae	Madagascar	0.46	4.729467	Gumnivore	Antagonism	1	0	0	0	1	1	0	0	0	0	0	"3, 13, 32, 327"
Phaner_pallescens	Lemuriformes	Cheirogaleidae	Madagascar	0.46	4.512970541	Gumnivore	Antagonism	1	0	0	0	1	1	0	0	0	0	0	"3, 13, 32"
Phaner_parienti	Lemuriformes	Cheirogaleidae	Madagascar	0.46	3.649699085	Gumnivore	Antagonism	1	0	0	0	1	1	0	0	0	0	0	"3, 13, 32"
Prolemur_simus	Lemuriformes	Lemuridae	Madagascar	2.6	3.000975	Folivore	Antagonism	1	0	0	0	1	0	0	0	0	0	0	"13, 32"
Propithecus_coquereli	Lemuriformes	Indriidae	Madagascar	2.8	3.981588946	Folivore	Antagonism	1	0	0	0	1	0	0	0	0	0	0	"13, 32, 83, 84"
Propithecus_deckenii	Lemuriformes	Indriidae	Madagascar	4	4.279397981	Folivore	Antagonism	1	0	1	1	1	0	0	0	0	0	0	"13, 32"
Propithecus_diadema	Lemuriformes	Indriidae	Madagascar	6.5	4.798954	Folivore	Antagonism	1	1	1	1	1	0	0	0	0	0	0	"13, 32, 183, 356"
Propithecus_edwardsi	Lemuriformes	Indriidae	Madagascar	4.8	3.854489621	Folivore	Antagonism	1	1	1	0	1	0	0	0	0	0	0	"13, 32, 207, 208"
Propithecus_perrieri	Lemuriformes	Indriidae	Madagascar	6.5	3.185862446	Folivore	Antagonism	1	1	1	1	1	0	0	0	0	0	0	"13, 32, 269"
Propithecus_tattersalli	Lemuriformes	Indriidae	Madagascar	3.39	3.000975	Folivore	Antagonism	1	0	1	0	1	0	0	0	0	0	0	"13, 32, 84, 183"
Propithecus_verreauxi	Lemuriformes	Indriidae	Madagascar	3.8	5.298393	Folivore	Antagonism	1	1	1	0	1	0	0	0	0	0	0	"13, 32, 83, 183, 367"
Varecia_rubra	Lemuriformes	Lemuridae	Madagascar	3.6	3.602059991	Frugivore	Mutualism	1	0	0	1	1	0	0	0	0	0	0	"13, 32, 372, 450"
Varecia_variegata	Lemuriformes	Lemuridae	Madagascar	3.65	4.859755	Frugivore	Mutualism	1	0	0	1	1	0	0	0	0	0	0	"13, 32, 76, 83, 84, 183, 244"
Arctocebus_aureus	Lorisiformes	Lorisidae	Africa	0.32	5.936456939	Faunivore	Antagonism	0	0	0	0	0	0	0	0	0	0	1	"3, 32, 368"
Arctocebus_calabarensis	Lorisiformes	Lorisidae	Africa	0.32	5.202848	Faunivore	Antagonism	0	0	0	0	0	0	0	0	0	0	1	"3, 32, 368"
Euoticus_elegantulus	Lorisiformes	Galagidae	Africa	0.3	5.919434	Gumnivore	Antagonism	1	0	0	0	0	1	0	0	0	0	1	32
Euoticus_pallidus	Lorisiformes	Galagidae	Africa	0.207	4.677352	Faunivore	Antagonism	1	0	0	0	0	1	0	0	0	0	1	32
Galago_alleni	Lorisiformes	Galagidae	Africa	0.32	5.615428	Frugivore	Mutualism	1	0	0	0	0	1	0	0	0	0	1	"32, 198, 313"
Galago_gabonensis	Lorisiformes	Galagidae	Africa	0.35	5.62144203	Faunivore	Mutualism	1	0	0	0	0	1	0	0	0	0	1	"32, 198, 313"
Galago_gallarum	Lorisiformes	Galagidae	Africa	0.2	6.00826	Faunivore	Antagonism	1	0	1	0	0	1	0	0	0	0	1	"32, 198, 313"
Galago_matschiei	Lorisiformes	Galagidae	Africa	0.21	5.459082	Faunivore	Antagonism	1	0	0	0	0	1	0	0	0	0	1	"32, 198, 313"
Galago_moholi	Lorisiformes	Galagidae	Africa	0.197	6.718536	Faunivore	Antagonism	1	0	0	0	0	1	0	0	0	0	1	"32, 89, 196, 197"
Galago_senegalensis	Lorisiformes	Galagidae	Africa	0.2	6.970426	Faunivore	Antagonism	1	0	0	0	0	1	0	0	0	0	1	"32, 198, 313"
Galagoides_demidoff	Lorisiformes	Galagidae	Africa	0.06	6.674815	Faunivore	Antagonism	1	0	0	0	0	1	0	0	0	0	1	"32, 198, 313"
Galagoides_granti	Lorisiformes	Galagidae	Africa	0.134	5.549197216	Faunivore	Antagonism	1	0	0	0	0	1	0	0	0	0	1	"32, 198, 313"
Galagoides_nyasae	Lorisiformes	Galagidae	Africa	0.2	1.290568799	Faunivore	Antagonism	1	0	0	0	0	1	0	0	0	0	0	"32, 198, 313"
Galagoides_orinus	Lorisiformes	Galagidae	Africa	0.0896	4.079543333	Faunivore	Antagonism	1	0	0	0	0	1	0	0	0	0	1	"32, 198, 313"
Galagoides_rondoensis	Lorisiformes	Galagidae	Africa	0.0692	1.966610987	Faunivore	Antagonism	1	0	0	0	0	0	0	0	0	0	1	"32, 198, 313"
Galagoides_thomasi	Lorisiformes	Galagidae	Africa	0.099	6.625933501	Faunivore	Antagonism	1	0	0	0	0	1	0	0	0	0	1	"32, 198, 313"
Galagoides_zanzibaricus	Lorisiformes	Galagidae	Africa	0.146	5.706121	Frugivore	Mutualism	1	0	0	0	0	0	0	0	0	0	1	"32, 196, 197, 199"
Loris_lydekkerianus	Lorisiformes	Lorisidae	Asia	0.264	5.151122888	Faunivore	Antagonism	1	0	0	0	0	1	0	0	0	0	1	"32, 312, 314, 315"
Loris_tardigradus	Lorisiformes	Lorisidae	Asia	0.264	5.902062	Faunivore	Antagonism	1	0	0	0	0	1	0	0	0	0	1	"32, 312, 314, 315"
Nycticebus_bengalensis	Lorisiformes	Lorisidae	Asia	1.31	6.143308352	Frugivore	Antagonism	1	0	0	1	0	1	0	1	0	0	1	"32, 420, 471"
Nycticebus_coucang	Lorisiformes	Lorisidae	Asia	0.679	6.579561	Frugivore	Antagonism	1	0	0	1	0	1	0	1	0	0	1	"32, 471, 472"
Nycticebus_pygmaeus	Lorisiformes	Lorisidae	Asia	0.307	5.650171	Faunivore	Antagonism	1	0	0	0	0	1	0	0	0	0	1	"32, 414"
Otolemur_crassicaudatus	Lorisiformes	Galagidae	Africa	1.5	6.609962	Frugivore	Mutualism	1	1	1	1	1	1	0	0	0	1	1	"32, 140, 288"
Otolemur_garnetti	Lorisiformes	Galagidae	Africa	0.77	5.806517	Frugivore	Mutualism	1	0	0	0	1	1	0	0	0	0	1	"32, 199"
Otolemur_monteiri	Lorisiformes	Galagidae	Africa	1.5	6.493605037	Frugivore	Mutualism	1	1	1	1	1	1	0	0	0	1	1	"32, 198, 313"
Perodicticus_potto	Lorisiformes	Lorisidae	Africa	1.15	6.527446	Frugivore	Mutualism	1	0	0	0	0	1	0	0	0	0	1	"3, 32, 368"
Pseudopotto_martini	Lorisiformes	Lorisidae	Africa	0.83	5.677097544	Gumnivore	Antagonism	1	0	0	0	0	1	0	0	0	0	1	32
Allenopithecus_nigroviridis	Simiiformes	Cercophitecidae	Africa	7	5.804242	Frugivore	Mutualism	1	0	0	0	0	0	0	1	0	1	1	178
Alouatta_belzebul	Simiiformes	Atelidae	America	7.3	6.414663	Folivore	Mutualism	1	1	0	1	1	0	1	0	0	0	0	"11, 70, 346"
Alouatta_caraya	Simiiformes	Atelidae	America	7	6.593027962	Folivore	Mutualism	1	1	1	1	1	0	0	0	0	0	0	"11, 74, 75"
Alouatta_coibensis	Simiiformes	Atelidae	America	6.875	3.846955325	Folivore	Mutualism	1	1	0	0	1	0	0	0	0	0	0	"11, "
Alouatta_guariba	Simiiformes	Atelidae	America	5.5	6.103470862	Folivore	Mutualism	1	1	0	0	1	0	0	0	0	0	0	"11, 285"
Alouatta_macconnelli	Simiiformes	Atelidae	America	7.25	4.93703619	Folivore	Mutualism	1	1	0	0	1	0	0	0	0	0	0	"11, "
Alouatta_nigerrima	Simiiformes	Atelidae	America	6.32	4.827601869	Folivore	Mutualism	1	1	0	0	1	0	0	0	0	0	0	"11, "
Alouatta_palliata	Simiiformes	Atelidae	America	6.875	5.739817	Folivore	Mutualism	1	1	0	0	1	0	0	0	0	0	0	"11, 103, 124, 143, 146, 147, 394, 427, 448, 465"
Alouatta_pigra	Simiiformes	Atelidae	America	8.9	5.496821753	Folivore	Mutualism	1	1	0	0	1	0	0	0	0	0	0	"11, 144, 339, 398, 399"
Alouatta_sara	Simiiformes	Atelidae	America	7.25	6.199215	Folivore	Mutualism	1	1	0	0	1	0	0	0	0	0	0	"11, "
Alouatta_seniculus	Simiiformes	Atelidae	America	7.25	6.733554829	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	0	"11, 226, 227, 228, 229, 441"
Aotus_azarai	Simiiformes	Aotidae	America	0.8	6.006802	Frugivore	Mutualism	1	1	0	1	1	0	0	0	0	0	1	"11, 237, 476"
Aotus_brumbacki	Simiiformes	Aotidae	America	0.9	5.350508	Frugivore	Mutualism	1	1	0	1	1	0	0	0	0	0	1	"11, 237"
Aotus_hershkovitzi	Simiiformes	Aotidae	America	0.9	5.66090151	Frugivore	Mutualism	1	1	0	1	1	0	0	0	0	0	1	"11, 237"
Aotus_infulatus	Simiiformes	Aotidae	America	0.9	6.301613	Frugivore	Mutualism	1	1	0	1	1	0	0	0	0	0	1	"11, 237"
Aotus_lemurinus	Simiiformes	Aotidae	America	0.9	5.66090151	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"11, 237"
Aotus_miconax	Simiiformes	Aotidae	America	0.93	4.981358	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"11, 237"
Aotus_nancymae	Simiiformes	Aotidae	America	0.788	5.281021	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"11, 237"
Aotus_nigriceps	Simiiformes	Aotidae	America	0.75	6.310299	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"11, 237"
Aotus_trivirgatus	Simiiformes	Aotidae	America	0.8	6.435754091	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"11, 237, 307"
Aotus_vociferans	Simiiformes	Aotidae	America	0.698	6.036693	Frugivore	Mutualism	1	1	0	0	1	0	0	0	0	0	1	"11, 237, 360"
Ateles_belzebuth	Simiiformes	Atelidae	America	5.8	6.053192	Frugivore	Mutualism	1	0	0	0	0	0	0	0	0	0	0	"11, 125, 126, 130, 385, 410"
Ateles_chamek	Simiiformes	Atelidae	America	8.56	6.187229025	Frugivore	Mutualism	1	0	0	0	0	0	0	0	0	0	0	"11, 130, 155, 466"
Ateles_fusciceps	Simiiformes	Atelidae	America	9	5.171605	Frugivore	Mutualism	1	0	0	0	0	0	0	0	0	0	0	"11, 130"
Ateles_geoffroyi	Simiiformes	Atelidae	America	7.27	5.866401954	Frugivore	Mutualism	1	0	0	0	0	0	0	0	0	0	0	"11, 86, 97 144, 184, 385"
Ateles_hybridus	Simiiformes	Atelidae	America	8.5	5.516421662	Frugivore	Mutualism	1	0	0	0	0	0	0	0	0	0	0	"11, 130"
Ateles_marginatus	Simiiformes	Atelidae	America	8.56	5.285226399	Frugivore	Mutualism	1	0	0	0	0	0	0	0	0	0	0	"11, 130"
Ateles_paniscus	Simiiformes	Atelidae	America	10.8	5.981238	Frugivore	Mutualism	1	0	0	0	0	0	0	0	0	0	0	"11, 130, 379, 385"
Brachyteles_arachnoides	Simiiformes	Atelidae	America	13.5	5.304042215	Frugivore	Mutualism	1	0	0	1	1	0	0	0	0	0	0	"11, 88, 157, 285, 329, 415"
Brachyteles_hypoxanthus	Simiiformes	Atelidae	America	13.5	5.329912219	Frugivore	Mutualism	1	0	1	0	1	0	0	0	0	0	0	"11, 130, 306"
Bunopithecus_hoolock	Simiiformes	Hylobatidae	Asia	6.25	5.480796	Frugivore	Mutualism	1	0	0	1	1	0	0	0	0	0	0	"22, 42, 44, 110, 154, 214, 309, 389, 482"
Cacajao_ayresi	Simiiformes	Pitheciidae	America	3.2	3.77815125	Frugivore	Antagonism	1	1	1	0	0	0	0	0	0	0	0	"11, 52"
