HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Female maturity (days)	Male maturity (days)	Gestation/Incubation (days)	Weaning (days)	Litter/Clutch size	Litters/Clutches per year	Inter-litter/Interbirth interval	Birth weight (g)	Weaning weight (g)	Adult weight (g)	Growth rate (1/days)	Maximum longevity (yrs)	Source	Specimen origin	Sample size	Data quality	IMR (per yr)	MRDT (yrs)	Metabolic rate (W)	Body mass (g)	Temperature (K)
1153	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Cynanthus	latirostris	365	365	17	NA	2	NA	NA	NA	NA	3.3	NA	8.8	427	wild	medium	acceptable	NA	NA	NA	NA	NA
1154	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Eugenes	fulgens	365	365	14	NA	2	NA	NA	NA	NA	8.1	NA	11	427	wild	medium	acceptable	NA	NA	NA	NA	NA
1155	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Lampornis	clemenciae	365	NA	18	NA	2	2	NA	NA	NA	7.6	0.462	12	444	unknown	medium	acceptable	NA	NA	NA	NA	NA
1156	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Lamprolaima	rhami	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.8	NA	8	1	wild	medium	acceptable	NA	NA	NA	NA	NA
1157	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	platycercus	365	365	16	NA	2	2	NA	0.4	NA	4.2	NA	14	NA	unknown	medium	acceptable	0.25	NA	NA	NA	NA
1158	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	rufus	365	365	16	NA	2	1	NA	NA	NA	3.5	0.38	8.9	427	wild	small	acceptable	NA	NA	0.06853	3.8	NA
1159	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus	sasin	730	730	16	NA	2	2	NA	0.29	NA	3	NA	NA	NA	unknown	small	low	NA	NA	0.06853	3.7	NA
1160	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Stellula	calliope	365	365	15	NA	2	NA	NA	NA	NA	2.6	NA	7	427	wild	tiny	acceptable	NA	NA	0.06853	3	NA
1161	Animalia	Chordata	Aves	Apterygiformes	Apterygidae	Apteryx	australis	NA	NA	75	NA	1	NA	NA	325	NA	2600	0.0312	35	1	captivity	small	acceptable	NA	NA	4.029	2380	NA
1162	Animalia	Chordata	Aves	Bucerotiformes	Bucerotidae	Buceros	bicornis	NA	NA	NA	NA	NA	NA	NA	NA	NA	2798.5	NA	33.4	575	captivity	medium	acceptable	NA	NA	NA	NA	NA
1163	Animalia	Chordata	Aves	Bucerotiformes	Bucerotidae	Bycanistes	subcylindricus	NA	NA	NA	NA	NA	NA	NA	NA	NA	1250	NA	31.8	972	captivity	medium	acceptable	NA	NA	NA	NA	NA
1164	Animalia	Chordata	Aves	Bucerotiformes	Bucerotidae	Ceratogymna	atrata	NA	NA	NA	NA	NA	NA	NA	NA	NA	1203.5	NA	19.3	575	captivity	small	acceptable	NA	NA	NA	NA	NA
1165	Animalia	Chordata	Aves	Bucerotiformes	Bucorvidae	Bucorvus	leadbeateri	NA	NA	NA	NA	NA	NA	NA	NA	NA	3767.5	NA	70	1	captivity	medium	acceptable	NA	NA	NA	NA	NA
1166	Animalia	Chordata	Aves	Bucerotiformes	Upupidae	Upupa	epops	365	365	NA	NA	NA	NA	NA	NA	NA	67.1	NA	11.1	729	wild	medium	acceptable	NA	NA	NA	NA	NA
1167	Animalia	Chordata	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	carolinensis	NA	NA	20	NA	2.5	1	NA	NA	NA	115	NA	14.8	445	wild	medium	acceptable	NA	NA	NA	NA	NA
1168	Animalia	Chordata	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	europaeus	365	365	NA	NA	NA	NA	NA	NA	NA	67	NA	11.9	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1169	Animalia	Chordata	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	ruficollis	NA	NA	NA	NA	NA	NA	NA	NA	NA	68.5	NA	13.2	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1170	Animalia	Chordata	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	vociferus	NA	NA	19	NA	2	2	NA	5.4	NA	54	NA	15	445	wild	tiny	acceptable	NA	NA	NA	NA	NA
1171	Animalia	Chordata	Aves	Caprimulgiformes	Caprimulgidae	Chordeiles	minor	NA	NA	19	NA	2	1	NA	5.95	NA	79.3	NA	10	427	wild	small	acceptable	NA	NA	0.4421	72	NA
1172	Animalia	Chordata	Aves	Caprimulgiformes	Caprimulgidae	Phalaenoptilus	nuttallii	365	365	20	NA	2	2	NA	NA	NA	37.5	NA	NA	NA	unknown	small	low	NA	NA	0.1566	35	NA
1173	Animalia	Chordata	Aves	Casuariiformes	Casuariidae	Casuarius	bennetti	NA	NA	NA	NA	NA	NA	NA	NA	NA	35000	NA	26	575	captivity	tiny	acceptable	NA	NA	NA	NA	NA
1174	Animalia	Chordata	Aves	Casuariiformes	Casuariidae	Casuarius	casuarius	NA	NA	NA	NA	NA	NA	NA	NA	NA	44000	NA	30	1142	captivity	small	questionable	NA	NA	NA	NA	NA
1175	Animalia	Chordata	Aves	Casuariiformes	Casuariidae	Casuarius	unappendiculatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	47300	NA	22	575	captivity	small	acceptable	NA	NA	NA	NA	NA
1176	Animalia	Chordata	Aves	Casuariiformes	Dromaiidae	Dromaius	novaehollandiae	NA	NA	NA	NA	NA	NA	NA	NA	NA	38925	NA	16.6	1	captivity	large	acceptable	NA	NA	NA	NA	NA
1177	Animalia	Chordata	Aves	Charadriiformes	Alcidae	Aethia	cristatella	1095	1095	34	NA	1	1	NA	NA	NA	289	0.197	10.8	427	wild	medium	acceptable	NA	NA	NA	NA	NA
1178	Animalia	Chordata	Aves	Charadriiformes	Alcidae	Aethia	pusilla	1095	1095	30	NA	1	1	NA	NA	NA	96	0.221	8.1	427	wild	medium	acceptable	NA	NA	NA	NA	NA
1179	Animalia	Chordata	Aves	Charadriiformes	Alcidae	Aethia	pygmaea	NA	1095	NA	NA	1	NA	NA	NA	NA	120	NA	15	427	wild	medium	acceptable	NA	NA	NA	NA	NA
1180	Animalia	Chordata	Aves	Charadriiformes	Alcidae	Alca	torda	1460	1460	36	NA	1	1	NA	63.8	NA	726	0.285	42	450	wild	small	acceptable	NA	NA	NA	NA	NA
1181	Animalia	Chordata	Aves	Charadriiformes	Alcidae	Brachyramphus	marmoratus	730	730	NA	NA	NA	NA	NA	NA	NA	222	NA	10	427	wild	medium	acceptable	NA	NA	NA	NA	NA
1182	Animalia	Chordata	Aves	Charadriiformes	Alcidae	Cepphus	columba	1095	1095	31	NA	2	NA	NA	43.7	NA	483.8	0.156	15.2	427	wild	medium	acceptable	NA	NA	NA	NA	NA
1183	Animalia	Chordata	Aves	Charadriiformes	Alcidae	Cepphus	grylle	1095	1095	25	NA	2	1	NA	33	NA	427.5	NA	29.9	450	wild	small	acceptable	NA	NA	NA	NA	NA
1184	Animalia	Chordata	Aves	Charadriiformes	Alcidae	Cerorhinca	monocerata	1095	1095	45	NA	1	1	NA	54.5	NA	544.1	0.098	28.2	427	wild	small	acceptable	NA	NA	NA	NA	NA
1185	Animalia	Chordata	Aves	Charadriiformes	Alcidae	Fratercula	arctica	1460	1460	42	NA	1	1	NA	39.7	NA	490.5	0.145	40.8	450	wild	small	acceptable	NA	NA	NA	NA	NA
1186	Animalia	Chordata	Aves	Charadriiformes	Alcidae	Ptychoramphus	aleuticus	730	730	NA	NA	NA	NA	NA	NA	NA	184	NA	16.2	427	wild	medium	acceptable	NA	NA	NA	NA	NA
1187	Animalia	Chordata	Aves	Charadriiformes	Alcidae	Synthliboramphus	antiquus	730	730	33	NA	2	1	NA	32.9	NA	223.6	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA
1188	Animalia	Chordata	Aves	Charadriiformes	Alcidae	Synthliboramphus	hypoleucus	730	730	34	NA	2	1	NA	24.8	NA	167	NA	15	1	wild	medium	acceptable	NA	NA	NA	NA	NA
1189	Animalia	Chordata	Aves	Charadriiformes	Alcidae	Uria	aalge	1825	1825	31	NA	1	1	NA	NA	NA	992	0.201	42.8	450	wild	large	acceptable	NA	NA	6.8224	956	NA
1190	Animalia	Chordata	Aves	Charadriiformes	Alcidae	Uria	lomvia	1862	2081	33	NA	1	1	NA	70.4	NA	964	0.212	29	427	wild	medium	acceptable	NA	NA	6.8224	989	NA
1191	Animalia	Chordata	Aves	Charadriiformes	Burhinidae	Burhinus	oedicnemus	NA	NA	NA	NA	NA	NA	NA	NA	NA	459	0.081	17.9	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1192	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Charadrius	alexandrinus	310	331	24	NA	3	NA	NA	6	NA	37	NA	19	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1193	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Charadrius	dubius	730	730	NA	NA	NA	NA	NA	NA	NA	38.7	0.138	13	450	wild	medium	acceptable	NA	NA	0.416	36	NA
1194	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Charadrius	hiaticula	365	365	NA	NA	NA	NA	NA	NA	NA	64	0.177	20.8	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1195	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Charadrius	melodus	365	365	28	NA	4	1	NA	6.75	NA	49	0.152	14	576	wild	medium	acceptable	NA	NA	NA	NA	NA
1196	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Charadrius	montanus	365	365	NA	NA	6	NA	NA	NA	NA	100	NA	10	445	wild	medium	acceptable	NA	NA	NA	NA	NA
1197	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Charadrius	morinellus	NA	NA	NA	NA	NA	NA	NA	NA	NA	108.5	NA	11.8	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1198	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Charadrius	semipalmatus	912	912	24	NA	4	1	NA	6.52	NA	52	NA	9.2	427	wild	small	acceptable	NA	NA	NA	NA	NA
1199	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Charadrius	vociferus	365	365	24	NA	4	NA	NA	9.85	NA	88	NA	10.9	576	wild	small	acceptable	NA	NA	NA	NA	NA
1200	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	apricaria	730	730	NA	NA	NA	NA	NA	NA	NA	214	0.12	12.8	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1201	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	dominica	365	365	26	NA	4	NA	NA	19.5	NA	118	NA	13	427	wild	small	questionable	NA	NA	NA	NA	NA
1202	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	fulva	365	365	NA	NA	NA	NA	NA	NA	NA	135	NA	21.3	427	wild	small	acceptable	NA	NA	NA	NA	NA
1203	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	squatarola	730	730	27	NA	4	1	NA	21.4	NA	224	NA	25.6	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1204	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Vanellus	armatus	NA	NA	29	NA	NA	NA	NA	NA	NA	156	NA	18.6	986	captivity	medium	acceptable	NA	NA	NA	NA	NA
1205	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Vanellus	spinosus	NA	NA	NA	NA	NA	NA	NA	NA	NA	188	NA	17	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1206	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Vanellus	vanellus	730	730	24	NA	4	NA	NA	NA	NA	218.5	0.114	24.5	450	wild	medium	acceptable	0.2	6	NA	NA	NA
1207	Animalia	Chordata	Aves	Charadriiformes	Haematopodidae	Haematopus	bachmani	1825	1825	26	NA	2	1	NA	34	NA	670	NA	16	445	wild	tiny	acceptable	NA	NA	NA	NA	NA
1208	Animalia	Chordata	Aves	Charadriiformes	Haematopodidae	Haematopus	ostralegus	1095	1095	NA	NA	NA	NA	NA	NA	NA	480	0.119	43.3	450	wild	medium	acceptable	NA	NA	2.91	449	NA
1209	Animalia	Chordata	Aves	Charadriiformes	Haematopodidae	Haematopus	palliatus	1095	1095	27	NA	2	1	NA	37.3	NA	565	NA	17	1	wild	small	acceptable	NA	NA	NA	NA	NA
1210	Animalia	Chordata	Aves	Charadriiformes	Laridae	Anous	minutus	730	730	34	NA	1	1	NA	16.8	NA	110.4	0.192	27.1	818	wild	medium	acceptable	NA	NA	NA	NA	NA
1211	Animalia	Chordata	Aves	Charadriiformes	Laridae	Anous	stolidus	1095	1460	35	NA	1	1	NA	24.8	NA	178	0.145	26.2	818	wild	medium	acceptable	NA	NA	0.788095	138.7	NA
1212	Animalia	Chordata	Aves	Charadriiformes	Laridae	Chlidonias	niger	730	730	21	NA	3	NA	NA	7.25	NA	60	0.374	21	450	wild	tiny	acceptable	NA	NA	NA	NA	NA
1213	Animalia	Chordata	Aves	Charadriiformes	Laridae	Chroicocephalus	genei	730	730	NA	NA	NA	NA	NA	NA	NA	281	NA	31.7	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1214	Animalia	Chordata	Aves	Charadriiformes	Laridae	Chroicocephalus	ridibundus	730	730	22	NA	3	NA	NA	NA	NA	306	0.248	32.9	856	wild	medium	acceptable	NA	NA	NA	NA	NA
1215	Animalia	Chordata	Aves	Charadriiformes	Laridae	Gelochelidon	nilotica	1825	1825	22	NA	3	1	NA	21.4	NA	221	NA	16	1	wild	small	acceptable	NA	NA	NA	NA	NA
1216	Animalia	Chordata	Aves	Charadriiformes	Laridae	Gygis	alba	1764	1764	36	NA	1	NA	NA	13	NA	98.1	0.094	35.9	977	wild	medium	acceptable	NA	NA	0.82236	98.1	NA
1217	Animalia	Chordata	Aves	Charadriiformes	Laridae	Hydrocoloeus	minutus	730	730	21	NA	3	NA	NA	NA	NA	119	0.273	20.9	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1218	Animalia	Chordata	Aves	Charadriiformes	Laridae	Hydroprogne	caspia	1095	1095	21	NA	2	1	NA	48.5	NA	644	0.194	30	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1219	Animalia	Chordata	Aves	Charadriiformes	Laridae	Ichthyaetus	audouinii	1095	1095	NA	NA	NA	NA	NA	NA	NA	535	0.18	20.9	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1220	Animalia	Chordata	Aves	Charadriiformes	Laridae	Ichthyaetus	ichthyaetus	1095	1095	NA	NA	NA	NA	NA	NA	NA	1394	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA
1221	Animalia	Chordata	Aves	Charadriiformes	Laridae	Ichthyaetus	melanocephalus	1095	1095	NA	NA	NA	NA	NA	NA	NA	256	NA	22.1	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1222	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larosterna	inca	NA	NA	28	NA	NA	NA	NA	NA	NA	219	NA	26	986	captivity	large	acceptable	NA	NA	NA	NA	NA
1223	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	argentatus	1825	1460	26	NA	3	1	NA	67.5	NA	1094	0.155	49	NA	unknown	medium	acceptable	0.004	6	4.817	1000	NA
1224	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	cachinnans	1460	1460	NA	NA	NA	NA	NA	NA	NA	1117.2	NA	31.9	729	wild	medium	acceptable	NA	NA	NA	NA	NA
1225	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	californicus	1095	1095	25	NA	3	1	NA	50	NA	691	0.16	30	427	wild	medium	acceptable	NA	NA	NA	NA	NA
1226	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	canus	1095	730	23	NA	3	1	NA	40	NA	430.6	0.191	33.7	450	wild	medium	acceptable	NA	NA	2.257	431	NA
1227	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	delawarensis	730	730	21	NA	3	1	NA	36.3	NA	518.5	NA	31.8	1	wild	medium	acceptable	NA	NA	2.91742	439	NA
1228	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	fuscus	1460	1460	NA	NA	NA	NA	NA	NA	NA	766.2	0.128	34.9	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1229	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	glaucescens	NA	NA	27	NA	3	NA	NA	70.65	NA	908	0.134	32	1	wild	medium	acceptable	NA	NA	NA	NA	NA
1230	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	glaucoides	1460	1460	25	NA	2.39	1	NA	NA	NA	945.5	NA	33	445	wild	medium	acceptable	NA	NA	NA	NA	NA
1231	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	heermanni	NA	NA	NA	NA	NA	NA	NA	NA	NA	500	NA	24	427	wild	medium	acceptable	NA	NA	NA	NA	NA
1232	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	hyperboreus	1460	1460	27	NA	3	1	NA	72.6	NA	1210	NA	21.1	972	wild	medium	acceptable	NA	NA	NA	NA	NA
1233	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	marinus	1825	1825	27	NA	3	NA	NA	85	NA	1658.5	0.13	29.2	450	wild	small	acceptable	NA	NA	NA	NA	NA
1234	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	michahellis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.2	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1235	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	occidentalis	1825	1460	27	NA	3	1	NA	67.5	NA	931.5	0.136	33.9	427	wild	medium	acceptable	NA	NA	3.43629	761	NA
1236	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	pacificus	NA	NA	NA	NA	NA	NA	NA	NA	NA	1313.5	NA	14.5	575	captivity	small	acceptable	NA	NA	NA	NA	NA
1237	Animalia	Chordata	Aves	Charadriiformes	Laridae	Leucophaeus	atricilla	NA	NA	24	NA	3	NA	NA	30.1	NA	275.6	NA	22	427	wild	medium	acceptable	NA	NA	NA	NA	NA
1238	Animalia	Chordata	Aves	Charadriiformes	Laridae	Leucophaeus	pipixcan	730	730	24	NA	3	1	NA	25.7	NA	263.3	NA	NA	NA	unknown	tiny	low	NA	NA	NA	NA	NA
1239	Animalia	Chordata	Aves	Charadriiformes	Laridae	Onychoprion	anaethetus	NA	NA	NA	NA	NA	NA	NA	NA	NA	133.3	NA	17.9	972	wild	medium	acceptable	NA	NA	NA	NA	NA
1240	Animalia	Chordata	Aves	Charadriiformes	Laridae	Onychoprion	fuscatus	1460	1460	28	NA	1	1	NA	23.4	NA	148	0.11	35.8	427	wild	medium	acceptable	NA	NA	NA	NA	NA
1241	Animalia	Chordata	Aves	Charadriiformes	Laridae	Onychoprion	lunatus	1825	1825	NA	NA	1	NA	NA	18.5	NA	131.7	0.151	25.8	427	wild	small	acceptable	NA	NA	NA	NA	NA
1242	Animalia	Chordata	Aves	Charadriiformes	Laridae	Pagophila	eburnea	730	730	25	NA	2	1	NA	NA	NA	550	NA	23.9	427	wild	small	acceptable	NA	NA	NA	NA	NA
1243	Animalia	Chordata	Aves	Charadriiformes	Laridae	Procelsterna	cerulea	NA	NA	NA	NA	NA	NA	NA	NA	NA	53	NA	15	427	wild	small	acceptable	NA	NA	NA	NA	NA
1244	Animalia	Chordata	Aves	Charadriiformes	Laridae	Rissa	brevirostris	NA	NA	NA	NA	NA	NA	NA	NA	NA	377	NA	27	427	wild	medium	acceptable	NA	NA	NA	NA	NA
1245	Animalia	Chordata	Aves	Charadriiformes	Laridae	Rissa	tridactyla	1460	1460	27	NA	2	1	NA	36	NA	317	0.184	28.5	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1246	Animalia	Chordata	Aves	Charadriiformes	Laridae	Rynchops	niger	730	730	23	NA	4	1	NA	NA	NA	315	0.228	20.2	427	wild	medium	acceptable	NA	NA	NA	NA	NA
1247	Animalia	Chordata	Aves	Charadriiformes	Laridae	Sterna	dougallii	1095	1095	23	NA	2	1	NA	14.8	NA	112	0.266	25.7	427	wild	medium	acceptable	NA	NA	NA	NA	NA
1248	Animalia	Chordata	Aves	Charadriiformes	Laridae	Sterna	forsteri	730	730	23	NA	3	1	NA	13.78	NA	158	0.201	15.8	427	wild	small	acceptable	NA	NA	NA	NA	NA
1249	Animalia	Chordata	Aves	Charadriiformes	Laridae	Sterna	hirundo	1095	1095	24	NA	2.5	1	NA	1.25	NA	120	0.252	33	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1250	Animalia	Chordata	Aves	Charadriiformes	Laridae	Sterna	paradisaea	1095	1095	21	NA	2	1	NA	13.1	NA	100	0.27	34	576	wild	medium	acceptable	NA	NA	NA	NA	NA
1251	Animalia	Chordata	Aves	Charadriiformes	Laridae	Sternula	albifrons	730	730	21	NA	2	NA	NA	NA	NA	31	0.182	23.9	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1252	Animalia	Chordata	Aves	Charadriiformes	Laridae	Sternula	antillarum	1095	1095	21	NA	2	NA	NA	7	NA	40	0.307	24.1	577	wild	medium	acceptable	NA	NA	NA	NA	NA
1253	Animalia	Chordata	Aves	Charadriiformes	Laridae	Thalasseus	elegans	1095	1095	26	NA	1	1	NA	26.4	NA	251	NA	20.9	427	wild	small	acceptable	NA	NA	NA	NA	NA
1254	Animalia	Chordata	Aves	Charadriiformes	Laridae	Thalasseus	maximus	1095	1095	28	NA	2	1	NA	56	NA	373	NA	28.6	427	wild	medium	acceptable	NA	NA	NA	NA	NA
1255	Animalia	Chordata	Aves	Charadriiformes	Laridae	Thalasseus	sandvicensis	1095	1095	22	NA	1	1	NA	28	NA	250	NA	30.8	NA	unknown	medium	acceptable	NA	NA	NA	NA	NA
1256	Animalia	Chordata	Aves	Charadriiformes	Recurvirostridae	Himantopus	himantopus	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	0.175	10.2	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1257	Animalia	Chordata	Aves	Charadriiformes	Recurvirostridae	Himantopus	mexicanus	365	365	25	NA	4	1	NA	13.6	NA	186	NA	19.1	NA	unknown	medium	acceptable	NA	NA	NA	NA	NA
1258	Animalia	Chordata	Aves	Charadriiformes	Recurvirostridae	Recurvirostra	americana	365	365	24	NA	4	1	NA	NA	NA	340	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA
1259	Animalia	Chordata	Aves	Charadriiformes	Recurvirostridae	Recurvirostra	avosetta	730	730	NA	NA	NA	NA	NA	NA	NA	304	0.192	27.8	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1260	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Actitis	hypoleucos	365	365	NA	NA	NA	NA	NA	NA	NA	48	NA	14.5	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1261	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Actitis	macularius	365	365	20	NA	4	1	NA	6.04	NA	34	NA	12	576	wild	small	acceptable	NA	NA	NA	NA	NA
1262	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Arenaria	interpres	730	730	22	NA	4	1	NA	11.42	NA	136	0.114	22.3	553	wild	medium	acceptable	NA	NA	0.92	90	NA
1263	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Bartramia	longicauda	NA	NA	22	NA	4	1	NA	18	NA	141	NA	8.9	427	wild	medium	acceptable	NA	NA	NA	NA	NA
1264	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	alba	730	730	27	NA	4	1.5	NA	7.3	NA	50	NA	18.6	450	wild	small	acceptable	NA	NA	NA	NA	NA
1265	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	alpina	730	730	21	NA	4	1	NA	9	NA	52.5	NA	28.8	450	wild	small	acceptable	NA	NA	NA	NA	NA
1266	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	canutus	1095	1095	22	NA	4	1	NA	NA	NA	135	NA	27.3	553	wild	small	acceptable	NA	NA	NA	NA	NA
1267	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	ferruginea	1095	1095	NA	NA	NA	NA	NA	NA	NA	58.1	NA	19.7	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1268	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	fuscicollis	365	365	22	NA	4	NA	NA	5	NA	42	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA
1269	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	himantopus	730	730	NA	NA	NA	NA	NA	NA	NA	57.3	NA	11.1	577	wild	tiny	acceptable	NA	NA	NA	NA	NA
1270	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	maritima	1095	1095	22	NA	4	1	NA	9.1	NA	65.2	NA	20.8	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1271	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	mauri	730	730	21	NA	4	1	NA	5	NA	26.19	NA	9.2	576	wild	small	acceptable	NA	NA	NA	NA	NA
1272	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	melanotos	365	365	22	NA	4	1	NA	8.27	NA	85	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA
1273	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	minuta	730	730	NA	NA	NA	NA	NA	NA	NA	21.1	NA	14.7	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1274	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	minutilla	365	365	20	NA	4	1	NA	4.06	NA	26	NA	16	577	wild	medium	acceptable	NA	NA	NA	NA	NA
1275	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	ptilocnemis	365	365	20	NA	4	1	NA	9.7	NA	84	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA
1276	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	pusilla	365	365	20	NA	4	1	NA	4.4	NA	27	NA	19.3	427	wild	medium	acceptable	0.3	NA	NA	NA	NA
1277	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	temminckii	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	NA	12.9	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1278	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Gallinago	delicata	NA	NA	NA	NA	NA	NA	NA	NA	NA	122	NA	9.2	427	wild	medium	acceptable	NA	NA	NA	NA	NA
1279	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Gallinago	gallinago	365	365	19	NA	4	NA	NA	11	NA	131.6	NA	18.2	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1280	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Limicola	falcinellus	NA	NA	NA	NA	NA	NA	NA	NA	NA	37.1	NA	6.8	450	wild	medium	acceptable	NA	NA	NA	NA	NA
1281	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Limnodromus	griseus	365	365	21	NA	4	1	NA	11.8	NA	105	NA	13.3	577	wild	small	acceptable	NA	NA	NA	NA	NA
1282	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Limnodromus	scolopaceus	NA	NA	20	NA	4	1	NA	NA	NA	130	NA	13.2	427	wild	medium	acceptable	NA	NA	NA	NA	NA
1283	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Limosa	fedoa	1095	1095	24	NA	4	1	NA	37	NA	336	NA	13.7	427	wild	tiny	acceptable	NA	NA	NA	NA	NA
