HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Female maturity (days)	Male maturity (days)	Gestation/Incubation (days)	Weaning (days)	Litter/Clutch size	Litters/Clutches per year	Inter-litter/Interbirth interval	Birth weight (g)	Weaning weight (g)	Adult weight (g)	Growth rate (1/days)	Maximum longevity (yrs)	Source	Specimen origin	Sample size	Data quality	IMR (per yr)	MRDT (yrs)	Metabolic rate (W)	Body mass (g)	Temperature (K)
33	Animalia	Chordata	Actinopterygii	Anguilliformes	Anguillidae	Anguilla	reinhardtii	7300	3650	NA	NA	NA	NA	NA	NA	NA	8965	NA	41	454	wild	medium	acceptable	NA	NA	NA	NA	NA
34	Animalia	Chordata	Actinopterygii	Anguilliformes	Anguillidae	Anguilla	rostrata	1642	1642	NA	NA	NA	NA	NA	NA	NA	4031.5	NA	50	583	captivity	small	acceptable	NA	NA	NA	NA	NA
35	Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinidae	Atherina	presbyter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA
36	Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinopsidae	Atherinops	affinis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	1	wild	medium	acceptable	NA	NA	NA	NA	NA
37	Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinopsidae	Atherinopsis	californiensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	1	wild	medium	acceptable	NA	NA	NA	NA	NA
38	Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinopsidae	Labidesthes	sicculus	120	120	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	442	wild	medium	acceptable	NA	NA	NA	NA	NA
39	Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinopsidae	Leuresthes	tenuis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	1	wild	medium	acceptable	NA	NA	NA	NA	NA
40	Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinopsidae	Menidia	beryllina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	wild	medium	acceptable	NA	NA	NA	NA	NA
41	Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinopsidae	Menidia	extensa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA
42	Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinopsidae	Menidia	menidia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	454	wild	medium	acceptable	NA	NA	NA	NA	NA
43	Animalia	Chordata	Actinopterygii	Aulopiformes	Synodontidae	Trachinocephalus	myops	730	730	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	454	wild	medium	acceptable	NA	NA	NA	NA	NA
44	Animalia	Chordata	Actinopterygii	Beloniformes	Adrianichthyidae	Oryzias	latipes	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	5	683	captivity	medium	acceptable	NA	NA	NA	NA	NA
45	Animalia	Chordata	Actinopterygii	Beloniformes	Hemiramphidae	Hyporhamphus	melanochir	912	912	NA	NA	NA	NA	NA	NA	NA	330	NA	10	454	wild	medium	acceptable	NA	NA	NA	NA	NA
46	Animalia	Chordata	Actinopterygii	Beloniformes	Scomberesocidae	Cololabis	saira	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	454	wild	medium	acceptable	NA	NA	NA	NA	NA
47	Animalia	Chordata	Actinopterygii	Beryciformes	Berycidae	Beryx	splendens	2153	2737	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	454	wild	medium	acceptable	NA	NA	NA	NA	NA
48	Animalia	Chordata	Actinopterygii	Beryciformes	Trachichthyidae	Hoplostethus	atlanticus	6448	7208	NA	NA	NA	NA	NA	NA	NA	3850	NA	149	454	wild	medium	acceptable	NA	NA	NA	NA	NA
49	Animalia	Chordata	Actinopterygii	Beryciformes	Trachichthyidae	Hoplostethus	mediterraneus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA
50	Animalia	Chordata	Actinopterygii	Characiformes	Alestiidae	Brycinus	imberi	NA	NA	NA	NA	NA	NA	NA	NA	NA	165	NA	5	454	wild	medium	acceptable	NA	NA	NA	NA	NA
51	Animalia	Chordata	Actinopterygii	Characiformes	Alestiidae	Brycinus	macrolepidotus	NA	NA	NA	NA	NA	NA	NA	NA	NA	1100	NA	5	454	wild	medium	acceptable	NA	NA	NA	NA	NA
52	Animalia	Chordata	Actinopterygii	Characiformes	Alestiidae	Hydrocynus	vittatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	15400	NA	8	454	wild	medium	acceptable	NA	NA	NA	NA	NA
53	Animalia	Chordata	Actinopterygii	Characiformes	Alestiidae	Micralestes	acutidens	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA
54	Animalia	Chordata	Actinopterygii	Characiformes	Characidae	Astyanax	bimaculatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	1	wild	medium	acceptable	NA	NA	NA	NA	NA
55	Animalia	Chordata	Actinopterygii	Characiformes	Characidae	Piaractus	brachypomus	NA	NA	NA	NA	NA	NA	NA	NA	NA	13750	NA	28	454	wild	medium	acceptable	NA	NA	NA	NA	NA
56	Animalia	Chordata	Actinopterygii	Characiformes	Citharinidae	Distichodus	niloticus	NA	NA	NA	NA	NA	NA	NA	NA	NA	3410	NA	7.5	583	captivity	small	acceptable	NA	NA	NA	NA	NA
57	Animalia	Chordata	Actinopterygii	Characiformes	Hepsetidae	Hepsetus	odoe	NA	NA	NA	NA	NA	NA	NA	NA	NA	2200	NA	5	454	wild	medium	acceptable	NA	NA	NA	NA	NA
58	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa	aestivalis	1460	1277	NA	NA	NA	NA	NA	NA	NA	110	NA	8	454	wild	medium	acceptable	NA	NA	NA	NA	NA
59	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa	agone	NA	NA	NA	NA	NA	NA	NA	NA	NA	825	NA	25	454	wild	medium	acceptable	NA	NA	NA	NA	NA
60	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa	alabamae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA
61	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa	alosa	1642	1277	NA	NA	NA	NA	NA	NA	NA	2200	NA	10	454	wild	medium	acceptable	NA	NA	NA	NA	NA
62	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa	caspia	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	NA	7	454	wild	medium	acceptable	NA	NA	NA	NA	NA
63	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa	chrysochloris	NA	NA	NA	NA	NA	NA	NA	NA	NA	935	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA
64	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa	macedonica	NA	NA	NA	NA	NA	NA	NA	NA	NA	330	NA	10	454	wild	medium	acceptable	NA	NA	NA	NA	NA
65	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa	maeotica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	454	wild	medium	acceptable	NA	NA	NA	NA	NA
66	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa	pontica	730	730	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	454	wild	medium	acceptable	NA	NA	NA	NA	NA
67	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa	pseudoharengus	1642	1277	NA	NA	NA	NA	NA	NA	NA	110	NA	8	454	wild	medium	acceptable	NA	NA	NA	NA	NA
68	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Alosa	sapidissima	1678	1569	NA	NA	NA	NA	NA	NA	NA	3025	NA	13	454	wild	medium	acceptable	NA	NA	NA	NA	NA
69	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Amblygaster	sirm	310	350	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	454	wild	medium	acceptable	NA	NA	NA	NA	NA
70	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	harengus	1095	1095	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	1	wild	medium	acceptable	NA	NA	NA	NA	NA
71	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea	pallasii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	520	wild	medium	acceptable	NA	NA	NA	NA	NA
72	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupeonella	cultriventris	912	912	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	454	wild	medium	acceptable	NA	NA	NA	NA	NA
73	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Dorosoma	cepedianum	730	730	NA	NA	NA	NA	NA	NA	NA	1089	NA	6	454	wild	medium	acceptable	NA	NA	NA	NA	NA
