AMNH	Subfamily	Tribe	Species	Hab	BM	LL	LI	LM	WI	WD	TP	TI	TD	BinindaEmondsSpecies	FernandezVrbaTaxon
85150	Alcelaphinae	Aepycerotini	Aepceryos melampus suara	L	56.25	36.5	28.2	34	21	20.9	13.6	19	16.2	Aepyceros_melampus	Aepyceros_melampus
216391	Alcelaphinae	Aepycerotini	Aepyceros melampus johnstoni	L	56.25	40.9	31.2	38	23.4	22.5	15.2	20.6	18.1	Aepyceros_melampus	Aepyceros_melampus
216392	Alcelaphinae	Aepycerotini	Aepyceros melampus johnstoni	L	56.25	37	29.3	34.5	22.1	21.4	13.4	19.9	17.7	Aepyceros_melampus	Aepyceros_melampus
216393	Alcelaphinae	Aepycerotini	Aepyceros melampus johnstoni	L	56.25	36.2	27.3	33.1	21.3	20.9	13.2	18.1	15.1	Aepyceros_melampus	Aepyceros_melampus
216394	Alcelaphinae	Aepycerotini	Aepyceros melampus johnstoni	L	56.25	36.6	29.2	35.5	21.1	21.4	13.7	18.5	16.3	Aepyceros_melampus	Aepyceros_melampus
83534	Alcelaphinae	Aepycerotini	Aepyceros melampus melampus	L	56.25	37.7	29.8	35.7	22.4	21.3	13.7	18.4	16.3	Aepyceros_melampus	Aepyceros_melampus
82046	Alcelaphinae	Aepycerotini	Aepyceros melampus suara	L	56.25	37.3	28.5	35.1	21.5	22.3	12.9	19.7	17.1	Aepyceros_melampus	Aepyceros_melampus
82047	Alcelaphinae	Aepycerotini	Aepyceros melampus suara	L	56.25	39	29.4	35.8	22.9	23.6	13.9	20.4	17	Aepyceros_melampus	Aepyceros_melampus
82048	Alcelaphinae	Aepycerotini	Aepyceros melampus suara	L	56.25	37.7	29.3	35.3	22.3	22.5	14.5	19	16.7	Aepyceros_melampus	Aepyceros_melampus
82050	Alcelaphinae	Aepycerotini	Aepyceros melampus suara	L	56.25	35.3	27.2	33.4	20.6	21	13.5	18.4	14.8	Aepyceros_melampus	Aepyceros_melampus
233038	Alcelaphinae	Alcelaphini	Alcelaphus buselaphus caama	O	161	45.3	36.3	42.7	27.1	27.3	18.9	22.8	22	Alcelaphus_buselaphus	Alcelaphus_buselaphus
83513	Alcelaphinae	Alcelaphini	Alcelaphus buselaphus caama	O	161	47.7	39.3	45.5	34.3	31.2	21.4	25.9	24.2	Alcelaphus_buselaphus	Alcelaphus_buselaphus
82031	Alcelaphinae	Alcelaphini	Alcelaphus buselaphus cokii	O	161	48.4	38.2	45.4	30.3	30.7	21	25.2	23.3	Alcelaphus_buselaphus	Alcelaphus_buselaphus
82032	Alcelaphinae	Alcelaphini	Alcelaphus buselaphus cokii	O	161	47.2	37.7	45.5	29.3	30.8	20.1	25.2	24.4	Alcelaphus_buselaphus	Alcelaphus_buselaphus
82033	Alcelaphinae	Alcelaphini	Alcelaphus buselaphus cokii	O	161	44.5	35.4	41.7	29.4	29.4	18.2	23.6	22	Alcelaphus_buselaphus	Alcelaphus_buselaphus
34725	Alcelaphinae	Alcelaphini	Alcelaphus buselaphus jacksoni	O	161	51	39.3	47.6	33.8	31.6	21.1	25.9	24.9	Alcelaphus_buselaphus	Alcelaphus_buselaphus
53427	Alcelaphinae	Alcelaphini	Alcelaphus buselaphus lelwel	O	161	49.8	41.1	46.4	29.9	30.7	20.8	25.7	25.5	Alcelaphus_buselaphus	Alcelaphus_buselaphus
53431	Alcelaphinae	Alcelaphini	Alcelaphus buselaphus lelwel	O	161	48.9	39.6	46.4	32.7	32.1	21.5	26.5	26.1	Alcelaphus_buselaphus	Alcelaphus_buselaphus
53434	Alcelaphinae	Alcelaphini	Alcelaphus buselaphus lelwel	O	161	52.4	40.4	50.6	33	33.3	21.6	26.9	23.6	Alcelaphus_buselaphus	Alcelaphus_buselaphus
82159	Alcelaphinae	Alcelaphini	Alcelaphus buselaphus lelwel	O	161	48.3	38	45.6	32	31.8	20.6	25.8	25.4	Alcelaphus_buselaphus	Alcelaphus_buselaphus
17276	Alcelaphinae	Alcelaphini	Alcelaphus buselaphus lichtensteini	O	161	51.2	41.2	46.7	31.9	32.7	21.6	27.7	26.4	Alcelaphus_buselaphus	Alcelaphus_buselaphus
216382	Alcelaphinae	Alcelaphini	Alcelaphus buselaphus lichtensteini	O	161	52	39.5	47.7	33.8	33.9	21.9	29.1	29.8	Alcelaphus_buselaphus	Alcelaphus_buselaphus
216383	Alcelaphinae	Alcelaphini	Alcelaphus buselaphus lichtensteini	O	161	51.9	39.5	48.4	32.2	32.4	22.9	26.8	25	Alcelaphus_buselaphus	Alcelaphus_buselaphus
81717	Alcelaphinae	Alcelaphini	Connochaetes gnou	O	147.5	50.6	40.7	49.2	31.5	32.3	22.8	25.9	19.8	Connochaetes_gnou	Connochaetes_gnou
81716	Alcelaphinae	Alcelaphini	Connochaetes taurinus	O	213.75	44.6	36.5	43.1	29.2	29.9	18.6	22.2	17.7	Connochaetes_taurinus	Connochaetes_taurinus
27824	Alcelaphinae	Alcelaphini	Connochaetes taurinus albojubatus	O	213.75	53.2	43	50.6	35.1	33.6	22.1	27.7	24.5	Connochaetes_taurinus	Connochaetes_taurinus
54133	Alcelaphinae	Alcelaphini	Connochaetes taurinus albojubatus	O	213.75	56.2	45.8	53.7	36.3	36.2	24.8	30.1	23.4	Connochaetes_taurinus	Connochaetes_taurinus
54137	Alcelaphinae	Alcelaphini	Connochaetes taurinus albojubatus	O	213.75	51.8	41.6	47.9	36.2	33.6	22	27	21.7	Connochaetes_taurinus	Connochaetes_taurinus
82026	Alcelaphinae	Alcelaphini	Connochaetes taurinus albojubatus	O	213.75	52.9	41.8	48.6	34.8	33.9	21.4	27.2	24.2	Connochaetes_taurinus	Connochaetes_taurinus
82029	Alcelaphinae	Alcelaphini	Connochaetes taurinus albojubatus	O	213.75	50.7	40.4	48.8	32.3	32.4	19.9	25.4	21.7	Connochaetes_taurinus	Connochaetes_taurinus
80493	Alcelaphinae	Alcelaphini	Connochaetes taurinus taurinus	O	213.75	56.7	45	53.5	35	35.6	23.4	29	24.6	Connochaetes_taurinus	Connochaetes_taurinus
81785	Alcelaphinae	Alcelaphini	Damaliscus dorcas dorcas	O	67.5	38.4	30	37.1	23.8	23.4	16	19.8	17.7	Damaliscus_pygargus	Damaliscus_pygargus
81786	Alcelaphinae	Alcelaphini	Damaliscus dorcas dorcas	O	67.5	37.6	29.1	35.9	23.7	23.7	15.5	19.6	16.9	Damaliscus_pygargus	Damaliscus_pygargus
81787	Alcelaphinae	Alcelaphini	Damaliscus dorcas dorcas	O	67.5	37.3	28.4	34.5	24.4	23.5	14.3	19.1	17	Damaliscus_pygargus	Damaliscus_pygargus
42953	Alcelaphinae	Alcelaphini	Damaliscus dorcas phillipsi	O	67.5	36	27.6	34.4	22.1	22.6	15.6	19	15.9	Damaliscus_pygargus	Damaliscus_pygargus
81727	Alcelaphinae	Alcelaphini	Damaliscus dorcas phillipsi	O	67.5	37.9	29.9	35.7	24	23.9	15.8	20.3	17.5	Damaliscus_pygargus	Damaliscus_pygargus
81729	Alcelaphinae	Alcelaphini	Damaliscus dorcas phillipsi	O	67.5	36.7	29.5	35.3	22.4	23.5	15.6	18.9	16.1	Damaliscus_pygargus	Damaliscus_pygargus
88406	Alcelaphinae	Alcelaphini	Damaliscus hunteri	O	99	42.5	32.8	39.7	26.6	27.9	18.9	22.3	21.1	Damaliscus_hunteri	Beatragus_hunteri
88408	Alcelaphinae	Alcelaphini	Damaliscus hunteri	O	99	41.2	32	38.5	27	27.3	17.6	22.3	21.5	Damaliscus_hunteri	Beatragus_hunteri
83526	Alcelaphinae	Alcelaphini	Damaliscus lunatus	O	126.25	47.1	36.6	44.4	28.6	31.7	20.1	24.7	23.9	Damaliscus_lunatus	Beatragus_hunteri
34729	Alcelaphinae	Alcelaphini	Damaliscus lunatus jimela	O	126.25	48.5	36.5	45.1	30	30.8	20.3	24.3	20.4	Damaliscus_lunatus	Beatragus_hunteri
82034	Alcelaphinae	Alcelaphini	Damaliscus lunatus jimela	O	126.25	46.9	35.9	43.9	28.4	29.7	17.8	24.4	20.6	Damaliscus_lunatus	Beatragus_hunteri
82035	Alcelaphinae	Alcelaphini	Damaliscus lunatus jimela	O	126.25	47	36.8	44.2	28.6	30.3	18.5	24.6	20.5	Damaliscus_lunatus	Beatragus_hunteri
113781	Alcelaphinae	Alcelaphini	Damaliscus lunatus tiang	O	126.25	49.3	38.3	45.7	31.8	31.4	20.2	26.8	24.7	Damaliscus_lunatus	Beatragus_hunteri
233055	Antilopinae	Antilopini	Antidorcas marsupialias hofmeyeri	O	76	33.8	26.6	31.8	22	21.3	12.7	18.1	16.3	Antidorcas_marsupialis	Antidorcas_marsupialis
83550	Antilopinae	Antilopini	Antidorcas marsupialias hofmeyeri	O	76	29.1	24	27.5	17.8	18.8	10.9	15.5	13.2	Antidorcas_marsupialis	Antidorcas_marsupialis
81739	Antilopinae	Antilopini	Antidorcas marsupialis	O	76	28.5	22.5	26.9	19.2	18.4	11.3	14.9	12.7	Antidorcas_marsupialis	Antidorcas_marsupialis
81740	Antilopinae	Antilopini	Antidorcas marsupialis	O	76	30.5	23.5	28.5	19.2	18.9	10.5	15.8	13	Antidorcas_marsupialis	Antidorcas_marsupialis
81743	Antilopinae	Antilopini	Antidorcas marsupialis	O	76	29.8	23.3	27.7	19	18.7	10.4	15.4	13.6	Antidorcas_marsupialis	Antidorcas_marsupialis
81744	Antilopinae	Antilopini	Antidorcas marsupialis	O	76	28.5	22.1	26.4	17	17.3	10.6	14.7	12.5	Antidorcas_marsupialis	Antidorcas_marsupialis
81745	Antilopinae	Antilopini	Antidorcas marsupialis	O	76	30.8	23.5	28.4	18.3	18.6	12.5	15.9	13.9	Antidorcas_marsupialis	Antidorcas_marsupialis
83549	Antilopinae	Antilopini	Antidorcas marsupialis hofmeyeri	O	76	31	23.8	28.1	18	18.3	10.4	15.5	13.4	Antidorcas_marsupialis	Antidorcas_marsupialis
27784	Antilopinae	Antilopini	Gazella granti	O	61.6	38.7	30	34.8	20.9	22.4	14.3	20	17.6	Gazella_granti	Nanger_granti
27792	Antilopinae	Antilopini	Gazella granti	O	61.6	36.3	29.3	33.8	20.7	22	13.2	19.1	16.8	Gazella_granti	Nanger_granti
82051	Antilopinae	Antilopini	Gazella granti	O	61.6	36.9	29	34.5	20.8	22.1	13.7	18.2	17.9	Gazella_granti	Nanger_granti
82052	Antilopinae	Antilopini	Gazella granti	O	61.6	37.4	29.6	34.7	20.6	21.5	13.4	19.1	17.2	Gazella_granti	Nanger_granti
82053	Antilopinae	Antilopini	Gazella granti	O	61.6	37.8	28.9	34.6	21.9	23.3	14.7	20.2	17	Gazella_granti	Nanger_granti
82055	Antilopinae	Antilopini	Gazella granti	O	61.6	33.8	26.5	31.2	20.7	20.6	11.9	18.1	15.7	Gazella_granti	Nanger_granti
