sample,Asfc,epLsar,Smc,Tfv,HAsfc
fuegians,0.948,0.0044,0.4,5224.8,0.109
chumash,2.787,0.0023,0.19,6635.9,0.191
khoe-san,3.548,0.002,0.176,9272,0.325
tigara,6.569,0.0029,0.213,1191.2,0.267
