file.name,GP1,GP2,GP3,GP4,GP5,Site,CatalogNo,Museum,AgeC,AgeY,Sex,DeformOriginal,DeformGrade,DeformLRS,METO,APIC,INCA,OMBL,OMBR,ASTL,ASTR,PNBL,PNBR,POSL,POSR,PCTB,ODON,TRFS,PHAR,HYPL,HYPR,PCPL,PCPR,ICCL,ICCR,SQSL,SQSR,SPSL,SPSR,MARL,MARR,TYML,TYMR,FSPL,FSPR,LPFL,LPFR,CIVL,CIVR,PTBL,PTBR,CLNL,CLNR,SOFL,SOFR,FRGL,FRGR,TRSL,TRSR,OPTL,OPTR,ORBL,ORBR,CONL,CONR,JAPL,JAPR,M3UL,M3UR,MENL,MENR,MHBL,MHBR,BUCL,BUCR,M3LL,M3LR,TRML,TRMR,ATAL,ATAR,ATBL,ATBR
AFRICARv3.csv,AF,AM,USA,,,Terry Anatomy,921B,O4,6,38d,4,NO-OBS,999,NO-OBS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,Terry Anatomy,922B,O4,6,38d,0,NO-OBS,999,NO-OBS,0,0,0,9,9,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,9,9,9,9,0,0,9,9,0,0,0,0,0,0,1,9,9,0,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,Terry Anatomy,923B,O4,6,46d,0,NO-OBS,999,NO-OBS,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,Terry Anatomy,926B,O4,5,23d,4,NO-OBS,999,NO-OBS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,Terry Anatomy,927B,O4,6,35d,4,NO-OBS,999,NO-OBS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,Terry Anatomy,929B,O4,5,26d,4,NO-OBS,999,NO-OBS,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,Terry Anatomy,933B,O4,6,40d,0,NO-OBS,999,NO-OBS,0,0,0,9,9,9,9,9,9,1,0,1,0,0,0,1,0,0,0,1,0,9,9,9,9,9,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,1,0,1,0,0,0,9,9,9,9,0,0,1,1,1,1,0,0,0,0,0,9,0,0,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,Terry Anatomy,940B,O4,5,24d,0,NO-OBS,999,NO-OBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,Terry Anatomy,970B,O4,5,21d,4,NO-OBS,999,NO-OBS,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,Terry Anatomy,988B,O4,6,40d,4,NO-OBS,999,NO-OBS,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,9,9,9,9,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,Terry Anatomy,990B,O4,5,28d,0,NO-OBS,999,NO-OBS,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,0,9,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,,1006,O,5,,4,NO-OBS,999,NO-OBS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,0,0,0,0,9,9,9,9,0,0,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,,178632,O,6,,4,NO-OBS,999,NO-OBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,9,9,9,9,1,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,,219398,O,6,,4,NO-OBS,999,NO-OBS,0,0,1,0,0,0,0,1,0,1,0,1,0,0,2,1,0,0,0,1,1,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,9,9,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,,222126,O,6,,0,NO-OBS,999,NO-OBS,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,,224724,O,6,,4,NO-OBS,999,NO-OBS,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,,224725,O,6,,0,NO-OBS,999,NO-OBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,9,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,9,9,9,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,,225108,O,6,,0,NO-OBS,999,NO-OBS,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,9,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,,225111,O,6,,4,NO-OBS,999,NO-OBS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,,225236,O,6,,4,NO-OBS,999,NO-OBS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,,225476,O,4,,4,NO-OBS,999,NO-OBS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,,226025,O,6,,4,NO-OBS,999,NO-OBS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,,228049,O,6,,0,NO-OBS,999,NO-OBS,0,0,0,0,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,9,9,9,9,2,2,0,0,0,0,0,1,0,0,0,0,0,0,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,,243643,O,6,,4,NO-OBS,999,NO-OBS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,,244061,O,6,,4,NO-OBS,999,NO-OBS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,1,0,0,1,0,0,9,9,9,9,0,0,1,1,0,0,0,0,0,0,1,1,0,0,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,,244065,O,6,,0,NO-OBS,999,NO-OBS,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,9,9,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,,244068,O,6,,0,NO-OBS,999,NO-OBS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,9,9,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,,244069,O,6,,4,NO-OBS,999,NO-OBS,1,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,1,1,0,0,0,0,0,0,1,1,0,0,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,,244070,O,6,,4,NO-OBS,999,NO-OBS,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,,244073,O,6,,0,NO-OBS,999,NO-OBS,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,1,1,0,0,0,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,,244083,O,6,,0,NO-OBS,999,NO-OBS,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,0,1,1,0,0,0,0,9,9,9,9,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
AFRICARv3.csv,AF,AM,USA,,,,244085,O,6,,0,NO-OBS,999,NO-OBS,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,9,9,0,0,0,0,9,9,9,9,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
