Species Name ,Order,Brain Mass (g),Body Mass (g),EQ,Independent contrast derived EQ,PGLS-ML dervived EQ,Reference,Notes
Macaca maura,Primates,94.48,6846.00,2.32,0.359789647,3.688652796,Sherwood/this study; Warncke 1908; Silva & Downing 1995,
Macaca arctoides,Primates,100.70,7630.00,2.28,0.358117831,3.68387409,Bronson 1981,
Arctocephalus galapagoensis,Carnivora,291.25,45950.00,1.73,0.333605523,3.628145163,Bininda-Emonds 2000,
Saimiri boliviensis,Primates,24.06,750.00,3.08,0.369829393,3.540371983,Sherwood/this study; Silva & Downing 1995,
Pithecia monachus,Primates,35.00,1500.00,2.67,0.347395284,3.397843088,Stephan 1981; Silva & Downing 1995,
Zalophus californianus,Carnivora,405.00,91000.00,1.44,0.301418125,3.348268046,Bininda-Emonds 2000,
Gorilla gorilla,Primates,454.55,120975.00,1.31,0.28266379,3.167774905,Hrdlicka 1925; Stephan 1981; Sherwood/this study; Silva & Downing 1995,
Trachypithecus francoisi,Primates,94.40,9100.00,1.88,0.300390597,3.106970926,Sherwood/this study; Silva & Downing 1995,
Cercopithecus mitis,Primates,75.00,6300.00,1.96,0.300986374,3.077846552,Stephan 1981; Silva & Downing 1995,
Eulemur rubriventer,Primates,24.90,1015.00,2.54,0.316219562,3.055693231,Warncke 1908,
Alouatta seniculus,Primates,45.50,2827.50,2.16,0.30272327,3.019672604,Hrdlicka 1925,
Daubentonia madagascariensis,Primates,45.15,2800.00,2.16,0.302252913,3.014067445,Stephan 1981; Silva & Downing 1995,
Procolobus badius,Primates,78.00,7000.00,1.89,0.29289179,3.004870839,Stephan 1981; Silva & Downing 1995,
Phoca vitulina,Carnivora,315.00,73635.00,1.32,0.267947571,2.956991046,Bininda-Emonds 2000; Count 1947; Crile & Quiring 1940; Silva & Downing 1995,
Pygathrix nemaeus,Primates,77.00,7500.00,1.77,0.276819402,2.846059646,Stephan 1981; Silva & Downing 1995,
Bassariscus sumichrasti,Carnivora,41.90,2722.00,2.05,0.285541395,2.844927352,Count 1947,
Lobodon carcinophagus,Carnivora,586.25,222250.00,1.07,0.248367724,2.83640227,Bininda-Emonds 2000,
Vulpes vulpes,Carnivora,49.64,3722.71,1.92,0.277644692,2.793229164,Crile & Quiring 1940; Warncke 1908; Silva & Downing 1995,
Equus burchellii,Perissodactyla,612.00,250000.00,1.03,0.240724745,2.75916357,Warncke 1908,
Odobenus rosmarus,Carnivora,1410.25,1022225.00,0.83,0.228108636,2.731229785,Bininda-Emonds 2000,
Ommatophoca rossii,Carnivora,495.00,179400.00,1.06,0.240056074,2.72333938,Bininda-Emonds 2000,
Arctocephalus gazella,Carnivora,340.00,96600.00,1.16,0.243684446,2.711956203,Bininda-Emonds 2000,
Lynx rufus,Carnivora,65.00,6350.00,1.69,0.25955691,2.654844887,Count 1947,
Rangifer tarandus,Cetartiodactyla,278.00,71700.00,1.18,0.240481497,2.651693554,Crile & Quiring 1940; Silva & Downing 1995,
Arctocephalus philippii,Carnivora,415.00,140000.00,1.07,0.235348137,2.649484027,Bininda-Emonds 2000,
Hydrurga leptonyx,Carnivora,712.50,345500.00,0.94,0.228503895,2.645489658,Bininda-Emonds 2000,
Damaliscus pygargus,Cetartiodactyla,254.60,62500.00,1.20,0.240174872,2.637062478,Sherwood/this study; Myers 2006,
Colobus guereza,Primates,83.90,10281.25,1.52,0.247189742,2.566400548,Sherwood/this study; Silva & Downing 1995,
Macaca sylvanus,Primates,87.70,11200.00,1.49,0.244800601,2.548348443,Warncke 1908; Silva & Downing 1995,
Arctocephalus tropicalis,Carnivora,326.25,101250.00,1.07,0.226994698,2.529901028,Bininda-Emonds 2000,
Potos flavus,Carnivora,33.08,2241.50,1.87,0.254788232,2.523286925,Count 1947; Crile & Quiring 1940; Silva & Downing 1995,
Callicebus moloch,Primates,19.00,900.00,2.12,0.260313107,2.506098437,Stephan 1981; Silva & Downing 1995,
Aotus trivirgatus,Primates,16.04,701.68,2.16,0.257134323,2.456467007,Warncke 1908; Bronson 1981; Stephan 1981; Sherwood/this study; Silva & Downing 1995,
Otaria byronia,Carnivora,506.25,222000.00,0.93,0.214627698,2.450999834,Bininda-Emonds 2000,
Leontopithecus rosalia,Primates,13.05,512.38,2.22,0.25511147,2.413502668,Sherwood/this study; Warncke 1908; Silva & Downing 1995,
Alouatta caraya,Primates,50.70,5012.50,1.57,0.235040716,2.386521539,Sherwood/this study; Warncke 1908; Silva & Downing 1995,
Arctocephalus forsteri,Carnivora,320.00,109690.00,0.99,0.211677178,2.36504706,Bininda-Emonds 2000,
Colobus angolensis,Primates,74.40,9670.00,1.41,0.227844363,2.361060314,Sherwood/this study; Silva & Downing 1995,
Arctocephalus australis,Carnivora,307.50,103750.00,0.99,0.210681346,2.349861616,Bininda-Emonds 2000,
Saguinus oedipus,Primates,9.64,327.14,2.29,0.250193409,2.334281874,"Bronson 1981; Rowe 1996; Sherwood/this study, Stephan 1981; Silva & Downing 1995; Warncke 1908",
Saguinus geoffroyi,Primates,14.27,634.67,2.07,0.243774647,2.321603367,Crile & Quiring 1940; Hrdlicka 1925; Rowe 1996; Sherwood/this study ,
Nasua nasua,Carnivora,37.50,3187.50,1.63,0.231325577,2.316067338,Count 1947; Spitzka 1903; Silva & Downing 1995,
Eulemur mongoz,Primates,24.03,1559.33,1.78,0.232776419,2.279505596,Warncke 1908,
Panthera leo,Carnivora,259.50,84000.00,0.98,0.203135857,2.250918761,Warncke 1908,
Alces alces,Cetartiodactyla,436.00,200000.00,0.86,0.197426761,2.247286911,Warncke 1908,
Tayassu pecari,Cetartiodactyla,145.80,32233.33,1.13,0.208874965,2.246800039,Warncke 1908; Silva & Downing 1995,
Ursus arctos,Carnivora,335.97,131022.67,0.91,0.1986644,2.231918645,Count 1947; Crile & Quiring 1940; Sherwood/this study; Silva & Downing 1995,
Connochaetes taurinus,Cetartiodactyla,443.00,212230.00,0.84,0.193222684,2.203482939,Quiring 1938; Silva & Downing 1995,
Tapirus bairdii,Perissodactyla,85.00,14260.00,1.21,0.203722484,2.136668959,Crile & Quiring 1940,
Varecia variegata,Primates,31.20,2705.50,1.53,0.213440022,2.126160774,Hrdlicka 1925; Stephan 1981; Silva & Downing 1995,
Alouatta palliata,Primates,50.04,5952.00,1.37,0.208128263,2.124546207,Crile & Quiring 1940,
Odocoileus virginianus,Cetartiodactyla,210.00,65090.00,0.96,0.193090652,2.122759348,Crile & Quiring 1940; Silva & Downing 1995,
Cervus elaphus,Cetartiodactyla,409.30,200000.00,0.81,0.185336636,2.109666359,Warncke 1908,
Phoca fasciata,Carnivora,248.75,87580.00,0.91,0.189659687,2.104312114,Bininda-Emonds 2000,
Tragelaphus scriptus,Cetartiodactyla,165.00,44225.00,1.01,0.193614106,2.103164631,Crile & Quiring 1940; Silva & Downing 1995,
Phoca largha,Carnivora,253.75,91500.00,0.90,0.188199645,2.090948926,Bininda-Emonds 2000,
Urocyon cinereoargenteus,Carnivora,37.28,3749.00,1.44,0.207589183,2.088895286,Crile & Quiring 1940; Silva & Downing 1995,
Monachus schauinslandi,Carnivora,370.00,173000.00,0.82,0.183596371,2.080482622,Bininda-Emonds 2000,
Neophoca cinerea,Carnivora,388.75,189275.00,0.80,0.182261113,2.071116266,Bininda-Emonds 2000,
Ailurus fulgens,Carnivora,46.80,5590.00,1.34,0.202534243,2.063425526,Warncke 1908,
Callorhinus ursinus,Carnivora,334.83,150916.67,0.82,0.181098548,2.043508244,Bininda-Emonds 2000; Scheffer 1960,
Arctocephalus pusillus,Carnivora,369.38,178750.00,0.80,0.179543505,2.036619503,Bininda-Emonds 2000,
Equus asinus,Perissodactyla,434.00,234000.00,0.77,0.177985237,2.03587095,Crile & Quiring 1940; Warncke 1908,
Nycticebus coucang,Primates,12.74,655.50,1.80,0.213239045,2.03282997,Sherwood/this study; Silva & Downing 1995; Stephan 1981; Warncke 1908,
Leopardus pardalis,Carnivora,63.10,9525.50,1.21,0.19508354,2.020629647,Count 1947,
Monachus monachus,Carnivora,480.00,280500.00,0.74,0.175575963,2.019628769,Bininda-Emonds 2000,
Leptonychotes weddellii,Carnivora,564.17,378666.67,0.69,0.170764136,1.982637001,Bininda-Emonds 2000; Robin 1973; Silva & Downing 1995,
Ursus maritimus,Carnivora,507.00,317000.00,0.71,0.171675778,1.982268284,Count 1947; Crile & Quiring 1940,
Canis mesomelas,Carnivora,54.80,8000.00,1.20,0.189147339,1.948572624,Warncke 1908; Silva & Downing 1995,
Procyon lotor,Carnivora,41.07,4975.67,1.28,0.191269514,1.941640028,Crile & Quiring 1940; Silva & Downing 1995,
Erignathus barbatus,Carnivora,460.00,281000.00,0.71,0.168071317,1.933410488,Crile & Quiring 1940; Silva & Downing 1995,
Phoca hispida,Carnivora,196.25,69085.00,0.86,0.173791275,1.914121223,Bininda-Emonds 2000,
Callithrix pygmaea,Primates,4.64,134.75,2.14,0.210695269,1.912452893,Stephan 1981; Sherwood/this study; Silva & Downing 1995,
Cystophora cristata,Carnivora,455.00,282840.00,0.70,0.16556121,1.904920826,Bininda-Emonds 2000,
Aepyceros melampus,Cetartiodactyla,175.00,57610.00,0.88,0.173793427,1.903396884,"Crile & Quiring 1940, Silva & Downing 1995",
Galagoides demidoff,Primates,3.38,81.00,2.28,0.211608014,1.89066994,Stephan 1981; Silva & Downing 1995,
Boselaphus tragocamelus,Cetartiodactyla,271.75,125000.00,0.77,0.165534604,1.857007147,Warncke 1908,
Axis axis,Cetartiodactyla,219.00,88450.00,0.80,0.16593853,1.84168539,Crile & Quiring 1940; Silva & Downing 1995,
Madoqua kirkii,Cetartiodactyla,37.00,4570.00,1.23,0.181829381,1.840950174,Crile & Quiring 1940; Silva & Downing 1995,
Rattus norvegicus,Rodentia,8.03,359.50,1.78,0.196186219,1.83575929,Warncke 1908,
