Species Name ,Order,Brain Mass (g),Body Mass (g),EQ,Independent contrast derived EQ,PGLS-ML dervived EQ,Reference,Notes
Scalopus aquaticus,Eulipotyphla,1.48,39.60,1.70,0.145541053,1.27184631,Mace 1981,
Tamias minimus,Rodentia,1.60,45.30,1.66,0.14454114,1.268384984,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Sciurus granatensis,Rodentia,5.91,400.00,1.21,0.135069436,1.268065002,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Phacochoerus aethiopicus,Cetartiodactyla,125.00,65320.00,0.57,0.11467938,1.260875882,Crile & Quiring 1940; Silva & Downing 1995,
Microcebus murinus,Primates,1.84,58.00,1.59,0.14222116,1.257624697,Stephan 1981; Warncke 1908; Silva & Downing 1995,
Xerus rutilus,Rodentia,5.09,317.50,1.24,0.134581991,1.254473741,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Rhinosciurus laticaudatus,Rodentia,4.28,240.00,1.28,0.135020569,1.247691034,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Jaculus orientalis,Rodentia,2.50,98.00,1.46,0.138786049,1.247367412,Warncke 1908,
Tamias speciosus,Rodentia,1.86,59.90,1.57,0.140872453,1.246943803,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Macropus eugenii,Diprotodontia,24.55,4425.00,0.84,0.123142023,1.245518455,Ashwell 2007; Silva & Downing 1995,
Hydrochaeris hydrochaeris,Rodentia,75.00,28500.00,0.64,0.116124435,1.244355231,Count 1947; Silva & Downing 1995,
Bettongia penicillata,Diprotodontia,9.90,981.00,1.04,0.128512083,1.24052715,Ashwell 2007;  Silva & Downing 1995,
Scapanus townsendii,Eulipotyphla,2.02,70.00,1.52,0.138664077,1.233339315,Mace 1981; Silva & Downing 1995,
Ratufa affinis,Rodentia,9.85,982.50,1.03,0.127686165,1.232612948,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Thryonomys swinderianus,Rodentia,13.28,1625.00,0.95,0.125319617,1.228785523,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Giraffa camelopardalis,Cetartiodactyla,700.00,1209000.00,0.36,0.101848938,1.22583577,Crile & Quiring 1940; Quiring 1937; Silva & Downing 1995,
Proechimys semispinosus,Rodentia,6.87,544.75,1.12,0.129206909,1.224696352,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Funisciurus carruthersi,Rodentia,4.48,268.00,1.24,0.131823979,1.222326333,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Rhynchocyon petersi,Macroscelidea,5.40,370.00,1.17,0.129636689,1.214123194,Sherwood/this study; Nowak 1991,
Dendrolagus dorianus,Diprotodontia,33.46,7897.00,0.74,0.116448293,1.199154179,Ashwell 2007; Silva & Downing 1995,
Tamias quadrimaculatus,Rodentia,2.16,82.30,1.44,0.133876982,1.196751224,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Euphractus sexcinctus,Xenarthra,33.50,7990.00,0.73,0.115719686,1.192083755,Warncke 1908,
Lepus europaeus,Lagomorpha,14.35,1954.00,0.90,0.120544656,1.188740874,Mace 1981,
Hippopotamus amphibius,Cetartiodactyla,720.00,1351000.00,0.34,0.09766938,1.179585207,Crile & Quiring 1940,
Lagorchestes conspicillatus,Diprotodontia,14.50,2015.00,0.89,0.11949774,1.179540321,Ashwell 2007; Silva & Downing 1995,
Spermophilopsis leptodactylus,Rodentia,6.18,495.00,1.08,0.123470172,1.166850955,Mace 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Allactaga sibirica,Rodentia,3.50,193.00,1.23,0.126692481,1.162849979,Warncke 1908,
Cheirogaleus medius,Primates,3.34,179.67,1.24,0.126613536,1.159549258,Stephan 1981; Sherwood/this study; Silva & Downing 1995,
Ratufa bicolor,Rodentia,11.01,1320.00,0.92,0.118460791,1.154072229,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Aeromys tephromelas,Rodentia,10.34,1189.00,0.94,0.118836608,1.153988435,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Choloepus hoffmanni,Xenarthra,24.54,5048.00,0.76,0.113236702,1.150017595,Crile & Quiring 1940,
Urogale everetti,Scandentia,4.28,275.00,1.16,0.123906559,1.14983145,Stephan 1981; Silva & Downing 1995,
Petrogale concinna,Diprotodontia,11.40,1407.00,0.91,0.117773701,1.149650976,Ashwell 2007; Silva & Downing 1995,
Tupaia glis,Scandentia,3.20,170.00,1.24,0.125489147,1.147283257,Stephan 1981; Silva & Downing 1995,
Dasyprocta punctata,Rodentia,18.34,3172.00,0.80,0.11348215,1.136029096,Crile & Quiring 1940,
Funambulus pennantii,Rodentia,2.10,85.90,1.35,0.126689046,1.134000972,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Dactylopsila trivirgata,Diprotodontia,6.04,506.00,1.04,0.119008722,1.125454729,Ashwell 2007; Silva & Downing 1995,
Thylogale thetis,Diprotodontia,19.89,3694.00,0.77,0.111799511,1.124482963,Ashwell 2007; Silva & Downing 1995,
Avahi laniger,Primates,10.49,1285.00,0.90,0.114796084,1.11743853,Stephan 1981; Silva & Downing 1995,
Tamias quadrivittatus,Rodentia,1.70,62.30,1.39,0.125601962,1.113130605,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Ammospermophilus leucurus,Rodentia,2.33,105.90,1.28,0.123173145,1.109707127,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Tamias striatus,Rodentia,2.17,94.30,1.30,0.123427609,1.108007624,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Erethizon dorsatum,Rodentia,24.60,5397.00,0.72,0.108846982,1.107729411,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Balaenoptera borealis,Cetartiodactyla,4900.00,36666666.67,0.20,0.082796174,1.107702796,Jacobs & Jensen 1964; Silva & Downing 1995,
Rhynchocyon cirnei,Macroscelidea,5.90,507.50,1.01,0.116035619,1.097439061,Silva & Downing 1995; Stephan 1981; Stolzenburg 1989,
Rousettus egyptiacus,Chiroptera,2.60,130.00,1.23,0.120765964,1.094957763,Pirlot & Stephan 1970,
Lagidium viscacia,Rodentia,15.08,2460.50,0.79,0.109494179,1.087510176,Warncke 1908,
Dolichotis patagonum,Rodentia,30.50,8000.00,0.67,0.10527361,1.084515785,Warncke 1908; Silva & Downing 1995,
Tachyglossus aculeatus,Monotremata,20.73,4250.00,0.73,0.106671151,1.077575257,Macrini 2006,
Glaucomys sabrinus,Rodentia,3.01,174.00,1.15,0.116318657,1.064209121,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Macropus rufogriseus,Diprotodontia,38.15,12257.50,0.61,0.100591117,1.050075832,Ashwell 2007; Sherwood/this study; Silva & Downing 1995,
Petrogale penicillata,Diprotodontia,24.76,5990.00,0.67,0.102581912,1.047349412,Ashwell 2007; Silva & Downing 1995,
Vombatus ursinus,Diprotodontia,61.12,27192.00,0.54,0.097487483,1.043126807,Ashwell 2007; Silva & Downing 1995,
Macropus parryi,Diprotodontia,42.79,15194.00,0.58,0.098524481,1.035372353,Ashwell 2007; Silva & Downing 1995,
Tamias amoenus,Rodentia,1.39,50.80,1.33,0.116811138,1.028694939,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Mustela putorius,Carnivora,7.87,915.00,0.87,0.106705666,1.027808266,Count 1947,
Heliosciurus gambianus,Rodentia,3.99,295.00,1.02,0.110505696,1.027707951,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Ornithorhynchus anatinus,Monotremata,10.08,1389.00,0.81,0.105056725,1.025104644,Macrini 2006,
Condylura cristata,Eulipotyphla,1.37,50.00,1.32,0.116289353,1.023596035,Mace 1981,
Melomys levipes,Rodentia,1.86,83.40,1.22,0.114321161,1.022358811,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Petaurista petaurista,Rodentia,11.77,1811.50,0.78,0.103666682,1.01990321,Count 1947; Mace 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Glaucomys volans,Rodentia,1.71,73.10,1.24,0.114217777,1.017268776,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Cavia aperea,Rodentia,4.04,306.45,1.01,0.109098825,1.01582242,Mace 1981; Warncke 1908; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Spermophilus lateralis,Rodentia,3.21,209.70,1.06,0.110148914,1.013608731,Iwaniuk 2001; Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Petaurista elegans,Rodentia,7.76,924.00,0.85,0.104566402,1.007508152,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Xerus erythropus,Rodentia,6.68,722.50,0.88,0.105128202,1.00522616,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Trichosurus vulpecula,Diprotodontia,11.40,1761.00,0.77,0.102240734,1.004993075,Ashwell 2007; Silva & Downing 1995; Warncke 1908,
Hylopetes spadiceus,Rodentia,1.87,87.50,1.19,0.111507476,0.998681041,Mace 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Sylvilagus bachmani,Lagomorpha,6.58,712.40,0.87,0.104478412,0.998577043,Mace 1981,
Dipodomys ordii,Rodentia,1.45,57.10,1.26,0.112897534,0.997839625,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Stenomys verecundus,Rodentia,1.48,59.40,1.26,0.11268651,0.99719451,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Tatera afra,Rodentia,1.56,65.00,1.24,0.11221366,0.995787373,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Hoplomys gymnurus,Rodentia,4.13,330.00,0.97,0.106570552,0.994561671,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Aplodontia rufa,Rodentia,7.04,806.00,0.85,0.103405754,0.992114197,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Lepus californicus,Lagomorpha,13.23,2314.90,0.73,0.099864116,0.989989375,Mace 1981,
Pogonomelomys sevia,Rodentia,1.49,61.40,1.23,0.1111019,0.984181679,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Jaculus jaculus,Rodentia,1.53,64.20,1.22,0.110919087,0.983921486,Count 1947; Mace 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Ochotona hyperborea,Lagomorpha,2.22,120.00,1.11,0.108457369,0.980921508,Mace 1981,
Bradypus variegatus,Xenarthra,16.03,3263.00,0.68,0.097454278,0.976435606,Crile & Quiring 1940,
Gerbillurus paeba,Rodentia,0.84,24.00,1.40,0.113301446,0.974860719,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Macropus parma,Diprotodontia,17.40,3760.00,0.67,0.096710845,0.973254839,Sherwood/this study; Silva & Downing 1995,
Caluromys philander,Didelphimorphia,3.63,277.00,0.98,0.104494282,0.969906721,Ashwell 2007; Silva & Downing 1995,
Petrogale persephone,Diprotodontia,22.27,5732.00,0.63,0.094880393,0.967396555,Ashwell 2007; Silva & Downing 1995,
Dendrolagus inustus,Diprotodontia,31.18,10119.00,0.57,0.092801263,0.96301649,Ashwell 2007; Silva & Downing 1995,
Gerbillus campestris,Rodentia,0.90,27.50,1.36,0.111402013,0.962571333,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Gerbillus nanus,Rodentia,0.60,14.00,1.50,0.113713995,0.962198021,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Melomys rubex,Rodentia,1.27,49.70,1.23,0.108211221,0.95231345,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Ratufa indica,Rodentia,11.40,1935.00,0.72,0.096355968,0.9499184,Warncke 1908,
Lepus nigricollis,Lagomorpha,11.49,1961.00,0.72,0.096302182,0.949781056,Mace 1981,
Thylamys elegans,Didelphimorphia,0.74,20.10,1.40,0.110961125,0.949490229,Ashwell 2007; Silva & Downing 1995,
Pogonomys sylvestris,Rodentia,1.13,41.20,1.26,0.108379654,0.948265924,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Dipodomys merriami,Rodentia,1.10,39.40,1.27,0.108516588,0.94815008,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Lepus americanus,Lagomorpha,9.72,1500.00,0.74,0.096476633,0.943629566,Mace 1981,
Dipodomys panamintinus,Rodentia,1.60,74.00,1.15,0.105746188,0.94217478,Hafner 1984,
Myrmecobius fasciatus,Dasyuromorphia,4.40,405.40,0.89,0.09978,0.937148618,Ashwell 2007; Silva & Downing 1995,
Cavia porcellus,Rodentia,4.83,476.00,0.87,0.09897972,0.934270436,Crile & Quiring 1940; Warncke 1908; Silva & Downing 1995,
Desmodus rotundus,Chiroptera,0.90,29.00,1.30,0.107491137,0.930309741,Crile & Quiring 1940; Pirlot & Stephan 1970,
Microdipodops pallidus,Rodentia,0.55,12.90,1.46,0.109577901,0.924851125,Hafner 1984,
Macropus antilopinus,Diprotodontia,58.84,31286.00,0.47,0.085903661,0.923183634,Ashwell 2007; Silva & Downing 1995,
Elephantulus fuscipes,Macroscelidea,1.33,57.00,1.16,0.103935537,0.918579519,Stephan 1981; Silva & Downing 1995,
Caluromys derbianus,Didelphimorphia,3.52,289.00,0.92,0.098828361,0.918522919,Ashwell 2007; Silva & Downing 1995,
Lepus timidus,Lagomorpha,15.10,3274.50,0.64,0.091547415,0.917352293,Count 1947; Mace 1981; Silva & Downing 1995,
Sylvilagus floridanus,Lagomorpha,7.56,1036.00,0.76,0.094776191,0.916422984,Mace 1981,
Galemys pyrenaicus,Eulipotyphla,1.33,57.50,1.16,0.103364329,0.913778561,Stephan 1981; Silva & Downing 1995,
Melomys rufescens,Rodentia,1.29,54.70,1.16,0.103463977,0.913245088,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Sylvilagus brasiliensis,Lagomorpha,4.50,439.00,0.86,0.096981045,0.913111541,Crile & Quiring 1940,
Cynopterus brachyotis,Chiroptera,0.88,29.00,1.27,0.105336527,0.911662107,Pirlot & Stephan 1970,
Dipodomys heermanni,Rodentia,1.44,65.65,1.13,0.102654744,0.911242306,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Stenomys niobe,Rodentia,1.10,42.10,1.21,0.104073496,0.911199469,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Ammospermophilus harrisii,Rodentia,2.24,138.80,1.01,0.099831989,0.906993906,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Spermophilus beldingi,Rodentia,3.28,262.90,0.92,0.0976912,0.905293751,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Diaemus youngi,Chiroptera,0.97,34.60,1.23,0.103868575,0.90389109,Pirlot & Stephan 1970,
Microdipodops megacephalus,Rodentia,0.56,13.85,1.41,0.106666111,0.902260561,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Phalanger vestitus,Diprotodontia,9.88,1672.00,0.70,0.091604224,0.898993179,Ashwell 2007; Silva & Downing 1995,
Spermophilus tridecemlineatus,Rodentia,2.38,156.40,0.98,0.09819671,0.895444859,Iwaniuk 2001; Mace 1981; Warncke 1908,
Podomys floridanus,Rodentia,0.94,33.47,1.22,0.102793783,0.893614916,Mace & Eisenberg 1982; Silva & Downing 1995,
Macropus robustus,Diprotodontia,61.12,35540.00,0.44,0.08233387,0.888323893,Ashwell 2007; Silva & Downing 1995,
Cynopterus horsfieldi,Chiroptera,1.23,53.00,1.14,0.100636725,0.887420833,Pirlot & Stephan 1970,
Dipodomys agilis,Rodentia,1.34,61.40,1.11,0.099917145,0.885102986,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Paraxerus cepapi,Rodentia,2.85,216.00,0.92,0.096089073,0.885039471,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Neotoma fuscipes,Rodentia,2.66,193.30,0.94,0.096191965,0.88294277,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Castor canadensis,Rodentia,52.21,27670.00,0.45,0.082359817,0.8817353,Crile & Quiring 1940,
Eonycteris spelaea,Chiroptera,1.18,50.00,1.14,0.100161632,0.881637461,Pirlot & Stephan 1970,
Peromyscus grandis,Rodentia,1.53,77.32,1.07,0.098639017,0.880047987,Mace & Eisenberg 1982,
Spermophilus beecheyi,Rodentia,5.12,587.50,0.79,0.091811155,0.872278702,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Rhyncholestes raphanurus,Paucituberculata,0.67,20.00,1.29,0.101904331,0.871856772,Ashwell 2007; Silva & Downing 1995,
Spilocuscus maculatus,Diprotodontia,13.88,3127.00,0.61,0.086677888,0.867316993,Ashwell 2007; Silva & Downing 1995,
Pseudomys australis,Rodentia,1.16,50.00,1.12,0.098463977,0.866694453,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Peromyscus crinitus,Rodentia,0.53,13.56,1.35,0.102491881,0.866383328,Mace & Eisenberg 1982,
Oryctolagus cuniculus,Lagomorpha,11.09,2157.60,0.65,0.087537847,0.865903576,Mace 1981; Silva & Downing 1995; Warncke 1908,
Ototylomys phyllotis,Rodentia,1.33,63.00,1.08,0.097574697,0.865042294,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Sylvilagus audubonii,Lagomorpha,6.07,792.50,0.75,0.090113449,0.864130151,Mace 1981,
Ochotona princeps,Lagomorpha,2.39,169.00,0.93,0.094074268,0.85991576,Mace 1981,
Notomys alexis,Rodentia,0.96,37.00,1.16,0.098538377,0.859290932,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Onychomys leucogaster,Rodentia,0.80,27.39,1.21,0.099388964,0.858660792,Mann & Towe 2002,
Noctilio leporinus,Chiroptera,1.26,58.50,1.08,0.096864503,0.856775533,Pirlot & Stephan 1970,
Cynomys ludovicianus,Rodentia,6.01,793.50,0.74,0.089151739,0.854941391,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Phyllostomus discolor,Chiroptera,0.89,33.00,1.17,0.09819224,0.853240916,Pirlot & Stephan 1970,
Cercartetus lepidus,Diprotodontia,0.37,7.80,1.44,0.102239807,0.849562873,Ashwell 2007; Silva & Downing 1995,
Neotoma floridana,Rodentia,3.04,257.70,0.86,0.091691662,0.849170626,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Rattus lutreolus,Rodentia,1.64,92.70,1.00,0.09429442,0.846030535,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Pogonomys macrourus,Rodentia,1.43,73.90,1.03,0.09486169,0.845160915,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Trichechus manatus,Sirenia,364.00,756000.00,0.27,0.071223546,0.844847526,O'Shea & Reep 1990,
Pseudocheirus peregrinus,Diprotodontia,5.78,759.00,0.73,0.088192337,0.844576356,Ashwell 2007; Silva & Downing 1995,
Peromyscus guatemalensis,Rodentia,1.16,52.83,1.07,0.095102029,0.838532024,Mace & Eisenberg 1982,
Balaenoptera physalus,Cetartiodactyla,5100.00,62500000.00,0.14,0.0615516,0.837205738,Jacobs & Jensen 1964; Silva & Downing 1995,
Mephitis mephitis,Carnivora,10.15,1980.00,0.63,0.084555092,0.834174594,Crile & Quiring 1940; Silva & Downing 1995,
Rattus nitidus,Rodentia,1.70,101.00,0.97,0.092595865,0.83300216,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Marmosa rubra,Didelphimorphia,1.24,60.00,1.05,0.094058277,0.832607429,Ashwell 2007; Silva & Downing 1995,
Parantechinus apicalis,Dasyuromorphia,1.24,60.50,1.04,0.093567024,0.828471946,Ashwell 2007; Silva & Downing 1995,
Artibeus jamaicensis,Chiroptera,0.93,37.50,1.11,0.094653936,0.825760716,Pirlot & Stephan 1970,
Peroryctes raffrayana,Peramelemorphia,6.56,977.00,0.69,0.085311869,0.823411176,Ashwell 2007; Silva & Downing 1995,
Lepus arcticus,Lagomorpha,15.80,4231.00,0.56,0.08151565,0.823343957,Mace 1981,
Rattus tunneyi,Rodentia,1.41,76.20,0.99,0.091743432,0.818156076,Mace 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Spalacopus cyanus,Rodentia,1.58,93.00,0.96,0.090659601,0.813499608,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Leopoldamys siporanus,Rodentia,3.39,332.70,0.80,0.087026965,0.812377802,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Grammomys cometes,Rodentia,0.96,40.70,1.08,0.09278689,0.811530072,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Desmana moschata,Eulipotyphla,4.00,440.00,0.76,0.086081695,0.810547398,Stephan 1981; Silva & Downing 1995,
Tatera brantsii,Rodentia,1.56,91.70,0.96,0.090310658,0.810014937,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Marmosa mexicana,Didelphimorphia,1.04,46.70,1.05,0.091810058,0.806416968,Ashwell 2007; Silva & Downing 1995,
Peromyscus truei,Rodentia,0.75,27.35,1.13,0.09315596,0.804779482,Mace & Eisenberg 1982; Silva & Downing 1995,
Hypsignathus monstrosus,Chiroptera,3.40,340.00,0.78,0.086096437,0.804232459,Pirlot & Stephan 1970,
Talpa europaea,Eulipotyphla,1.40,77.83,0.97,0.09009585,0.803991567,Mace 1981; Stephan 1981; Silva & Downing 1995; Warncke 1908,
Antechinus stuartii,Dasyuromorphia,0.79,29.80,1.12,0.092642943,0.802478895,Ashwell 2007; Silva & Downing 1995,
Clethrionomys gapperi,Rodentia,0.56,16.90,1.21,0.094245576,0.802132355,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Melomys cervinipes,Rodentia,1.31,70.00,0.98,0.089925713,0.799838863,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Massoutiera mzabi,Rodentia,2.32,182.60,0.85,0.086966192,0.796851788,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Dorcopsis luctuosa,Diprotodontia,21.34,7392.00,0.50,0.077429711,0.795719189,Ashwell 2007; Silva & Downing 1995,
Rattus morotaiensis,Rodentia,1.92,134.10,0.89,0.087450667,0.793659086,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Spermophilus richardsonii,Rodentia,3.37,343.67,0.77,0.084858031,0.792928053,Iwaniuk 2001; Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Dipodomys microps,Rodentia,1.22,62.80,0.99,0.089407964,0.792562512,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Peromyscus mexicanus,Rodentia,1.02,46.55,1.03,0.090131828,0.791597222,Mace & Eisenberg 1982; Silva & Downing 1995,
Malacomys edwardsi,Rodentia,1.18,60.00,0.99,0.089276679,0.790280539,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Metachirus nudicaudatus,Didelphimorphia,3.63,390.00,0.76,0.084204537,0.789912645,Ashwell 2007; Silva & Downing 1995,
Peromyscus aztecus,Rodentia,0.92,39.73,1.05,0.090284557,0.789053987,Mace & Eisenberg 1982,
Chrysochloris stuhlmanni,Afrosoricida,1.06,50.05,1.02,0.089494829,0.787771094,Mace 1981; Stephan 1981; Silva & Downing 1995,
Chiropodomys gliroides,Rodentia,0.70,25.30,1.12,0.091326844,0.787074347,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Lepus capensis,Lagomorpha,10.78,2412.50,0.58,0.079277754,0.78691604,Crile & Quiring 1940; Mace 1981; Silva & Downing 1995,
Acomys wilsoni,Rodentia,0.58,18.50,1.17,0.092196003,0.786891741,"Mace 1981, Silva & Downing 1995","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Mystromys albicaudatus,Rodentia,1.39,80.00,0.94,0.087707045,0.783340965,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Clethrionomys rutilus,Rodentia,0.56,17.60,1.18,0.091862655,0.782835401,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Phalanger orientalis,Diprotodontia,8.61,1674.00,0.61,0.079733448,0.782523768,Ashwell 2007; Silva & Downing 1995,
Ochotona rufescens,Lagomorpha,2.75,250.00,0.80,0.084547741,0.782273681,Mace 1981,
Casinycteris argynnis,Chiroptera,0.92,40.50,1.04,0.089197599,0.780018393,Pirlot & Stephan 1970,
Phalanger carmelitae,Diprotodontia,8.80,1754.00,0.60,0.079095948,0.777391383,Ashwell 2007; Silva & Downing 1995,
Meriones unguiculatus,Rodentia,1.13,57.40,0.98,0.087917332,0.777179503,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Dasycercus byrnei,Dasyuromorphia,1.55,98.40,0.90,0.086047958,0.773470912,Ashwell 2007; Silva & Downing 1995,
Uroderma bilobatum,Chiroptera,0.53,16.40,1.17,0.090903135,0.772964576,Pirolot & Stephan 1969,
Zapus hudsonius,Rodentia,0.55,17.47,1.16,0.09055183,0.77148292,Mace 1981; Crile & Quiring 1940; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Distoechurus pennatus,Diprotodontia,0.97,45.40,1.01,0.087852642,0.770981803,Ashwell 2007; Silva & Downing 1995,
Onychomys torridus,Rodentia,0.59,20.02,1.14,0.089932626,0.769455015,Mann & Towe 2002,
Peromyscus yucatanicus,Rodentia,0.70,26.30,1.09,0.08912005,0.76897925,Mace & Eisenberg 1982; Silva & Downing 1995,
Praomys tullbergi,Rodentia,0.86,37.20,1.03,0.087974198,0.767295617,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Spermophilus parryii,Rodentia,5.25,763.72,0.66,0.079712765,0.763518218,Crile & Quiring 1940; Iwaniuk 2001; Mace 1981; Silva & Downing 1995,
Marmosa murina,Didelphimorphia,1.14,60.00,0.96,0.086220088,0.763223477,Ashwell 2007; Silva & Downing 1995,
Phascogale calura,Dasyuromorphia,0.94,43.80,1.00,0.086996232,0.762617403,Ashwell 2007; Silva & Downing 1995,
