Taxon	SSFB	TOTB	SSFL	ISFB	MOL	SPL	ISFL	PSSFB	PISFB	GFL	GFB
H	12.95	34.57	20.11	29.3	27.17	30.58	21.74	10.28	27.91	10.0	6.66
H	21.47	74.36	39.74	60.06	51.26	61.22	56.02	16.66	62.51	19.59	11.92
H	27.83	90.06	44.51	71.325	62.35	80.81	66.36	24.07	70.13	25.28	15.88
H	55.81	151.39	77.63	114.31	101.57	129.79	131.67	47.69	112.95	40.36	27.7
H	26.0	79.16	39.23	64.23	52.36	63.82	56.82	20.43	63.56	20.15	14.33
H	21.75	53.62	30.4	41.52	38.86	45.7	34.3	16.97	41.12	16.79	11.2
H	17.97	52.1	26.46	41.19	34.66	42.44	33.37	15.35	39.93	13.3	9.45
H	26.18	62.82	32.5	47.96	42.64	50.62	43.18	18.73	49.0	17.04	12.86
H	22.87	63.54	34.15	49.86	44.25	52.07	44.93	17.25	50.52	16.35	11.71
H	23.18	64.27	34.19	51.86	46.22	55.68	40.51	18.61	51.37	17.72	11.91
H	20.75	60.7	33.42	47.47	45.15	51.4	43.83	15.51	47.09	17.32	11.48
H	22.66	70.5	34.74	56.13	47.0	52.16	46.1	18.65	55.41	20.65	12.35
H	20.7	49.7	29.29	38.31	36.75	42.93	33.34	16.8	37.08	20.2	10.54
H	22.81	69.14	35.9	55.03	50.03	60.25	48.47	18.75	54.34	19.44	12.97
H	17.31	63.07	25.52	55.9	44.45	52.39	43.48	15.58	54.22	16.46	11.0
H	15.77	52.91	25.14	44.32	36.22	42.91	38.51	14.1	44.16	15.13	10.39
H	25.51	72.0	34.4	56.27	46.76	56.25	50.78	19.46	56.81	17.49	11.23
H	27.0	78.48	39.79	59.05	54.1	60.58	56.35	22.0	60.01	19.67	12.27
H	18.79	67.57	31.55	54.07	43.59	51.29	49.97	18.94	54.39	17.0	11.37
H	26.53	79.59	39.09	60.83	51.13	62.41	57.28	22.74	59.94	20.81	13.13
H	25.15	65.47	34.56	49.18	44.03	55.6	48.17	18.2	49.39	16.42	10.64
H	24.81	67.81	36.83	51.1	50.24	60.71	55.1	19.59	51.25	18.45	13.16
H	15.72	47.29	24.36	41.21	34.81	40.66	29.67	12.69	39.94	15.39	8.85
H	21.74	71.59	31.02	57.88	45.0	55.68	52.42	17.28	59.82	16.97	11.65
H	19.9	68.26	37.0	57.0	46.64	55.35	49.37	17.32	55.92	17.47	12.54
H	21.2	58.93	29.47	47.59	39.31	47.22	38.67	18.34	45.23	16.89	10.02
H	13.22	46.56	22.06	39.33	37.08	43.66	33.09	11.58	39.11	13.72	9.62
H	19.48	54.18	28.43	45.8	40.32	47.64	37.69	14.97	45.05	16.99	10.68
H	24.47	62.06	33.01	46.89	42.78	51.63	42.02	19.82	47.24	14.96	10.67
H	18.54	60.62	27.18	45.8	43.36	53.38	47.03	16.07	48.45	15.92	12.58
H	18.25	48.95	25.97	39.06	37.45	43.45	39.17	15.82	38.31	14.31	8.4
H	26.46	62.37	29.75	48.98	43.75	45.82	42.47	20.35	49.65	16.18	12.32
H	27.5	83.175	39.445	63.255	55.59	68.25	66.445	23.32	63.705	20.25	13.555
P	75.34	168.75	75.91	101.72	100.92	140.45	161.0	54.04	84.9	34.84	24.92
P	71.26	147.28	70.99	77.91	98.56	131.73	148.32	43.18	61.32	32.69	21.83
P	69.15	146.09	70.86	85.64	98.74	130.46	143.21	51.06	71.95	35.39	23.6
P	70.48	172.08	67.05	114.83	95.06	130.01	158.65	59.38	81.07	34.78	26.42
P	82.9	165.96	83.27	88.54	107.42	144.71	150.78	58.96	75.43	37.2	23.75
P	67.32	131.36	64.44	71.67	83.48	104.31	117.35	47.57	59.18	30.45	20.83
P	74.54	158.0	76.13	87.46	101.4	135.51	140.48	55.07	67.51	35.46	22.4
P	77.43	138.37	80.69	70.61	102.22	136.73	130.44	57.44	60.45	37.56	24.2
P	81.71	149.4	82.1	75.54	107.46	140.42	149.12	51.67	58.93	34.18	23.44
P	73.97	151.08	76.3	82.66	107.79	143.33	145.14	54.62	72.11	36.91	23.45
P	28.37	55.83	28.4	29.54	37.97	48.98	47.62	19.1	22.16	15.37	9.78
P	29.69	47.49	29.09	23.13	41.22	49.83	41.1	17.63	19.92	11.39	8.35
P	30.87	53.47	33.81	25.77	45.88	56.57	50.6	16.8	22.89	16.46	10.1
P	27.51	51.65	30.02	28.11	39.23	47.26	45.37	16.29	22.78	14.89	9.84
P	36.88	64.45	39.37	32.07	49.62	60.79	58.86	22.67	28.78	16.92	10.83
P	27.57	49.76	30.17	25.2	38.06	44.78	44.76	16.2	21.31	14.18	9.1
P	33.08	58.1	34.74	30.87	44.26	53.72	53.39	20.77	24.87	16.95	9.93
P	25.94	57.38	29.28	32.78	40.75	45.81	52.59	19.84	24.31	17.0	11.73
P	53.13	99.15	54.73	51.4	65.57	86.98	86.32	33.23	37.08	23.0	15.37
P	50.71	97.14	51.62	53.06	62.55	75.7	86.84	34.65	38.02	23.41	15.35
P	54.35	106.03	58.85	59.53	76.51	93.35	96.66	37.42	47.93	28.05	18.06
P	48.38	83.62	49.96	41.19	65.94	79.76	77.43	26.05	35.81	19.99	15.35
P	51.19	99.98	54.23	55.3	65.05	84.57	92.56	32.43	39.78	21.33	16.17
P	63.34	111.18	56.37	58.21	71.09	90.38	91.72	43.34	47.94	23.27	16.35
P	36.37	63.21	35.79	35.09	48.18	56.75	55.45	21.9	31.06	17.96	12.37
P	48.54	85.08	49.01	41.66	62.65	72.0	76.17	28.94	33.58	20.2	14.97
P	48.23	92.81	50.74	50.52	65.83	82.12	84.32	35.19	37.34	23.36	15.92
P	57.79	102.59	59.55	51.87	72.14	90.38	85.77	34.16	40.71	21.84	16.88
P	53.38	97.53	57.19	47.12	74.5	92.83	94.57	30.15	39.29	22.19	16.06
P	51.65	89.24	54.0	47.58	67.17	81.69	82.17	28.56	35.88	20.28	15.62
P	52.55	92.0	54.09	46.06	71.03	86.43	85.08	27.66	35.81	22.58	15.61
P	46.52	98.17	47.92	57.6	65.47	88.73	88.83	26.74	44.06	21.37	17.88
P	46.96	90.42	47.72	46.82	62.96	78.3	82.9	26.84	33.95	20.62	14.74
P	48.24	80.43	49.31	38.65	57.82	71.55	71.16	22.58	31.83	20.49	14.43
P	46.59	76.4	46.55	38.48	58.51	72.36	69.17	24.53	32.21	18.31	14.57
P	47.18	88.14	46.63	46.1	61.28	75.97	75.09	28.9	35.28	19.95	15.15
P	56.12	103.46	54.17	54.99	69.65	85.85	92.38	36.06	40.9	20.8	16.27
P	44.53	86.69	46.61	45.38	65.33	81.27	79.7	25.33	33.88	22.91	16.4
P	51.42	89.28	48.61	46.33	63.98	79.5	77.7	28.82	36.48	20.46	15.11
P	55.05	90.1	58.77	42.93	76.05	88.8	85.92	27.01	41.23	20.67	17.05
P	57.13	110.39	58.27	57.6	75.46	91.73	98.34	34.93	42.64	22.31	19.17
P	54.38	109.4	56.19	58.72	74.66	89.87	98.22	34.7	43.16	23.21	18.4
P	45.55	87.17	51.33	45.56	66.63	81.34	85.99	26.55	32.67	22.42	16.56
