individual	Taxon	Habitat	ACF	APD	B	DistRad	DMTD	DTArea	LML	MIN	MML	PMTD	ProxRad	PTArea	WAF	WAT
AMNH53271	Tragelaphus_eurycerus	F	980.13	NA	26.84	13.5	3.52	1518.47	61.24	48.51	57.72	9.07	17.5	2411.93	35.73	37.4
AMNH53279	Tragelaphus_eurycerus	F	1031.26	NA	26.44	13.23	3.63	1383.78	61.56	48.32	57.87	9.61	18.5	2520.69	37.41	38.55
AMNH53280	Tragelaphus_eurycerus	F	1114.05	NA	28.1	14.68	3.63	1464.37	64.97	52.4	60.18	9.02	17.78	2719.16	38.83	40.64
AMNH36416	Tragelaphus_imberbis	HC	493.53	7.67	19.83	10.2	2.53	881.56	45.67	34.64	42.21	8.65	12.23	1263.27	27.13	26.86
AMNH36417	Tragelaphus_imberbis	HC	462.19	6.17	18.29	9.57	2.25	766.77	41.27	31.83	38.93	7.25	11.25	1035.2	25.27	24.82
AMNH82019	Tragelaphus_imberbis	HC	542.22	8.44	20.89	11.13	2.69	805.1	48.33	36.97	45.41	8.78	13.5	1438.96	28.44	28.85
AMNH82023	Tragelaphus_imberbis	HC	454.12	6.3	19.45	8.79	2.02	690.02	41.85	32.55	39.2	7.42	11.23	1083.11	24.45	24.72
AMNH187806	Tragelaphus_scriptus	F	258	4.37	13.97	6.86	1.79	337.02	31.53	24.12	29.3	5.69	8.65	624.43	18.57	17.61
AMNH216371	Tragelaphus_scriptus	F	305.6	4.84	15.66	7	1.18	401.89	33.59	27.77	32.04	4.66	9.62	688.77	19.84	20.09
AMNH88425	Tragelaphus_scriptus	F	375.52	5.12	15.67	8.07	1.16	538.71	37.22	30.35	34.62	5.72	11	882.33	21.73	22.56
AMNH53209	Tragelaphus_spekii	HC	668.87	7.15	22.77	11	2.46	1132.15	48.93	40.05	46.97	6.45	13.5	1627.85	29.6	31.82
AMNH53212	Tragelaphus_spekii	HC	647.28	5.24	21.58	9.73	1.48	950.17	46.74	37.18	42.67	7.87	11.26	1309.3	27	30.09
AMNH53213	Tragelaphus_spekii	HC	434.5	5.61	16.59	8.35	2.06	653.81	38.76	31.06	36.35	5.72	11.36	948.72	23.44	24.57
AMNH53216	Tragelaphus_spekii	HC	487.76	7.18	17.61	8.86	2.62	710.38	40.58	31.84	38.41	6.16	12.5	1108.21	22.61	25.28
AMNH233027	Tragelaphus_strepsiceros	HC	1054.36	NA	24.51	13.38	2.51	1580.77	60.85	48.33	55.28	10.05	17.86	2401.12	38.35	38.36
AMNH70328	Tragelaphus_strepsiceros	HC	733.17	NA	23.37	12.5	2.74	1050.71	54.79	43.61	50.29	8.46	15.5	1859.71	35.21	34.91
AMNH70328a	Tragelaphus_strepsiceros	HC	NA		22.27	12.21	2.64	NA	54.57	43.49	49.83	8.64	15.65	NA	35.08	34.01
AMNH82017	Tragelaphus_strepsiceros	HC	828.68	NA	24.27	13.23	3.81	1354.81	57.07	44.26	53.94	9.15	16.79	2093.6	36.02	34.63
AMNH16048	Ammotragus_lervia	NA	440.11	12.09	15.54	9.8	1.84	585.32	36.72	30.74	35.94	4.13	10.87	1121.71	23.71	25.56
AMNH90234	Rupicapra_rupicapra	NA	274.73	4.92	14.57	7.61	1.88	475.9	31.59	25.08	30.79	4.64	8.64	649.53	19.03	19.89
AMNH90235	Rupicapra_rupicapra	NA	311.33	5.14	12.41	8.18	1.98	380.04	31.63	25.51	30.53	4.13	10.12	686.98	19.66	20.83
AMNH90236	Rupicapra_rupicapra	NA	340.43	4.83	14.8	7.42	1.39	497.19	32.23	26.1	31.08	4.73	9	662.01	19.37	20.77
AMNH52875	Cephalophus_dorsalis	F	NA	3.91	11.17	5.36	1.2	272.17	25.37	20.15	23.91	4.19	7.5	358.75	15.43	15.47
AMNH52876	Cephalophus_dorsalis	F	194.55	4.22	10.73	6	2.08	291.75	27.13	20.49	24.79	4.81	8.29	471.34	15.9	15.95
AMNH52884	Cephalophus_dorsalis	F	NA		12.44	6.11	2.01	NA	27.78	21.54	26.46	4.22	8	NA	17	17.17
AMNH52888	Cephalophus_dorsalis	F	NA		11.38	5.92	1.61	NA	26.34	20.77	24.58	3.99	7.42	NA	16.36	16.38
AMNH52775	Cephalophus_leucogaster	F	198.66	3.94	12.31	5.71	1.23	270.38	25.97	20.95	24.87	3.78	7.17	347.19	14.15	14.53
AMNH52778	Cephalophus_leucogaster	F	178.56	4.15	11.88	5.71	1.34	305.35	25.76	20.62	24.21	3.86	6.88	393.16	14.92	14.83
AMNH52788	Cephalophus_leucogaster	F	193.08	3.8	11.47	5.7	1.56	301.14	25.54	20.64	24.33	3.45	7.28	367.75	14.57	15.53
AMNH216375	Cephalophus_natalensis	F	NA	3.53	12.16	5.84	1.19	286.98	26.72	22.47	25.59	3.48	7.84	424.42	15.8	15.88
AMNH54391	Cephalophus_natalensis	F	147.71	3.51	9.91	5.58	0.95	236.58	23.65	19.35	22.61	3.3	7.21	327.79	13.14	14.31
AMNH81686	Cephalophus_natalensis	F	NA	3.44	10.03	5.28	1.34	188.32	23.32	18.29	21.56	3.87	6.33	312.42	13.55	14.05
AMNH83387	Cephalophus_natalensis	F	NA	3.98	11.84	5.67	1.36	258.32	24.93	20.39	24.15	3.32	6.79	363.17	15.58	14.74
AMNH52930	Cephalophus_nigrifrons	F	NA		11.6	5.36	1.32	NA	24.05	19.7	23.12	3.11	6.38	NA	13.7	14.81
AMNH52931	Cephalophus_nigrifrons	F	NA	3.65	11.3	5.7	1.37	244.27	25.29	20.31	23.6	3.81	6.87	302.57	14.35	14.08
AMNH52940	Cephalophus_nigrifrons	F	NA		11.36	5.29	1.24	NA	24.72	19.65	23.11	3.84	6.59	NA	14.36	15.26
AMNH52943	Cephalophus_nigrifrons	F	NA		11.62	5.77	1.42	NA	24.44	20.05	23.35	3.16	6	NA	12.88	14.59
AMNH53138	Cephalophus_silvicultor	F	504.11	6.94	16.2	9.13	2.04	771.28	40.03	31.09	34.01	6.81	12.14	1039.18	23.99	25.79
AMNH53144	Cephalophus_silvicultor	F	524.81	6.9	18.98	9.5	2.11	803.95	42.49	34	40.06	6.59	11.84	1174.81	25.26	26.36
AMNH53153	Cephalophus_silvicultor	F	429.42	6.94	16.38	8	1.97	566.49	38.1	29.27	35.42	6.82	11.64	940.4	22.63	23.97
AMNH52992	Cephalophus_weynsi	F	197.09	4.36	12.51	5.72	1.75	286.36	27.51	22.12	25.75	3.66	7.8	370.71	13.41	15.33
AMNH52995	Cephalophus_weynsi	F	206.29	4.21	12.18	5.87	1.38	318.75	27.52	22.26	25.68	3.92	7.87	409.34	14.9	15.53
AMNH52999	Cephalophus_weynsi	F	226.3	4.1	13.88	6	1.29	298.86	28.42	23.64	27.52	3.58	7.8	398.92	15.17	15.65
AMNH88429	Cephalophus_weynsi	F	155.44	4.08	11.89	5.56	1.26	265.18	25.71	20.89	24.44	3.58	7.24	340.52	14.31	15.06
AMNH269894	Philantomba_monticola	F	NA	2.36	7.69	3.35	0.91	100.51	16.52	12.95	15.38	2.71	4.45	131.69	9.27	9.68
AMNH52726	Philantomba_monticola	F	NA	2.13	8.26	3.23	0.56	108.7	15.74	13.01	15.31	2.23	4.39	122.42	8.58	9.52
AMNH52753	Philantomba_monticola	F	NA	2.34	7.07	3.63	0.91	92.17	15.81	12.7	15.04	2.23	4.26	NA	9.08	9.09
AMNH52758	Philantomba_monticola	F	72.42	4.12	7.42	3.72	0.74	99.92	16.27	13.25	15.48	2.26	4.5	137.09	9.37	9.75
AMNH53088	Sylvicapra_grimmia	LC	164.19	3.67	9.84	5.5	1.01	219.31	22.68	18.44	21.69	3.24	6.42	281.6	13.06	14.07
AMNH53092	Sylvicapra_grimmia	LC	NA	2.93	10.65	5.2	1.03	241.35	22.9	18.78	21.96	3.21	6.26	302.17	13.59	14.47
AMNH80562	Sylvicapra_grimmia	LC	NA	3.65	11.18	5.62	1.37	233.32	25.06	20.29	23.45	3.67	6.75	378.17	16.24	14.94
AMNH80563	Sylvicapra_grimmia	LC	NA	3.48	11.06	5.5	1.25	233.62	24.89	19.94	23.31	3.71	6.88	381.05	16.12	14.94
AMNH113810	Addax_nasomaculatus	O	525.73	7.5	18.51	11.04	1.75	843.25	44.76	36.82	41.85	6.35	12.5	1401.48	25.89	26.97
AMNH113811	Addax_nasomaculatus	O	446.41	5.63	16.48	11.19	2.45	765.98	42.61	33.35	39.54	6.83	12	1237.05	25.42	27.25
AMNH113812	Addax_nasomaculatus	O	533.34	8.01	18.75	11.38	2.36	856.38	45.35	35.64	42	7.41	12	1378.74	25.55	26.98
AMNH113813	Addax_nasomaculatus	O	545.8	12.3	15.06	11	2.14	685.38	41.64	33.06	38.47	6.5	12.62	1213.05	24.89	26.87
AMNH80143	Hippotragus_equinus	O	924.87	9	20.73	14.5	3.08	1393.84	53.56	41.7	50.66	8.57	15.76	2108.99	34.58	34.3
AMNH87217	Hippotragus_equinus	O	1111.37	9.01	25.41	17.3	4.08	1743.21	65.93	51.4	62.35	10.21	19.78	2872.32	38.06	39.6
AMNH216381	Hippotragus_niger	LC	NA	9.04	23.1	14.27	4.16	1589.88	57.8	44.49	53.2	9.48	16.5	2448.57	38.95	38.2
AMNH80458	Hippotragus_niger	LC	1088.9	9.1	25.16	15.28	3.07	1619.13	61.16	48.55	57.27	9.58	17	2566.2	37.27	36.8
AMNH80461	Hippotragus_niger	LC	NA	9.18	24.18	14.5	2.4	1631.64	60.51	48.48	55.3	9.87	17	2724.97	37.34	37.47
AMNH83476	Hippotragus_niger	LC	NA	8.47	23.1	13.73	3.23	1417.6	56.21	44.1	52.99	8.92	16.5	2125.74	35.27	34.27
AMNH233033	Oryx_gazella	O	NA		19.19	13.38	2.4	NA	52.72	41.94	49.38	9.58	16	NA	35.3	34.99
AMNH82043	Oryx_gazella	O	NA	7.71	22.64	13.5	3.46	1345.61	54.81	42.27	51.45	9.59	15.5	2058.98	36.16	34.22
AMNH82044	Oryx_gazella	O	NA	7.31	20.53	12.24	2.94	1000.99	50	38.81	47.29	9.46	14.5	1666.91	32.57	29.77
AMNH87211	Oryx_gazella	O	868.45	8.77	19.6	13.76	3.73	1236.25	52.7	40.2	48.01	8.74	14.81	1921.99	32.85	31.55
AMNH53492	Kobus_ellipsiprymnus	HC	951.77	10.17	23.01	14.32	2.12	1543.31	58.64	46.49	52.96	9.96	16	2318.97	34	35.64
